time,cyln_pre,tank_pre,force,pos,val1,val2
0,1074,1048,458,4012,0,0
1,1072,1045,457,4014,0,0
2,1070,1050,452,4013,0,0
3,1078,1047,459,4014,0,0
4,1072,1045,459,4009,0,0
5,1074,1046,457,4012,0,0
6,1072,1048,457,4013,0,0
7,1066,1046,461,4012,0,0
8,1070,1047,459,4013,0,0
9,1073,1045,460,4014,0,0
10,1076,1047,458,4013,0,0
11,1070,1042,459,4012,0,0
12,1075,1048,461,4014,0,0
13,1070,1043,458,4011,0,0
14,1068,1046,457,4012,0,0
15,1079,1047,457,4012,0,0
16,1071,1043,459,4013,0,0
17,1071,1047,458,4012,0,0
18,1068,1045,456,4013,0,0
19,1070,1035,458,4014,0,0
20,1070,1046,457,4014,0,0
21,1072,1045,458,4014,0,0
22,1072,1048,459,4014,0,0
23,1067,1043,459,4013,0,0
24,1069,1045,457,4011,0,0
25,1072,1055,455,4011,0,0
26,1079,1047,462,4013,0,0
27,1071,1045,457,4015,0,0
28,1064,1045,465,4017,0,0
29,1070,1045,457,4010,0,0
30,1069,1044,457,4014,0,0
31,1070,1045,460,4009,0,0
32,1075,1032,457,4013,0,0
33,1068,1046,459,4011,0,0
34,1074,1043,458,4015,0,0
35,1070,1043,457,4013,0,0
36,1074,1053,456,4013,0,0
37,1070,1046,459,4013,0,0
38,1073,1043,457,4013,0,0
39,1070,1049,459,4012,0,0
40,1072,1042,462,4014,0,0
41,1066,1044,465,4012,0,0
42,1074,1048,456,4013,0,0
43,1076,1047,457,4012,0,0
44,1070,1044,460,4013,0,0
45,1070,1045,457,4015,0,0
46,1073,1045,458,4013,0,0
47,1071,1039,458,4011,0,0
48,1068,1050,455,4011,0,0
49,1070,1049,455,4012,0,0
50,1071,1044,459,4013,0,0
51,1075,1045,457,4012,0,0
52,1073,1046,457,4012,0,0
53,1078,1047,455,4012,0,0
54,1075,1048,459,4011,0,0
55,1072,1047,465,4014,0,0
56,1067,1046,459,4012,0,0
57,1077,1046,459,4014,0,0
58,1068,1043,459,4013,0,0
59,1074,1043,458,4013,0,0
60,1069,1043,457,4012,0,0
61,1066,1050,447,4013,0,0
62,1072,1045,466,4013,0,0
63,1073,1047,457,4012,0,0
64,1071,1045,459,4012,0,0
65,1072,1042,455,4014,0,0
66,1074,1044,456,4011,0,0
67,1072,1046,457,4011,0,0
68,1075,1047,459,4015,0,0
69,1064,1050,460,4014,0,0
70,1073,1030,460,4012,0,0
71,1068,1048,459,4014,0,0
72,1072,1045,458,4015,0,0
73,1069,1050,460,4011,0,0
74,1072,1046,457,4012,0,0
75,1076,1044,459,4017,0,0
76,1072,1045,459,4011,0,0
77,1071,1047,456,4014,0,0
78,1068,1044,459,4015,0,0
79,1075,1045,454,4015,0,0
80,1072,1041,458,4012,0,0
81,1068,1039,458,4012,0,0
82,1071,1042,458,4012,0,0
83,1077,1047,460,4011,0,0
84,1064,1050,460,4012,0,0
85,1071,1046,458,4013,0,0
86,1071,1043,458,4012,0,0
87,1069,1047,461,4013,0,0
88,1070,1042,459,4012,0,0
89,1061,1048,458,4015,0,0
90,1070,1049,458,4013,0,0
91,1063,1046,457,4016,0,0
92,1069,1040,456,4012,0,0
93,1070,1046,460,4012,0,0
94,1074,1044,461,4016,0,0
95,1071,1046,461,4012,0,0
96,1075,1044,459,4014,0,0
97,1070,1045,459,4015,0,0
98,1073,1044,459,4013,0,0
99,1071,1044,458,4013,0,0
100,1073,1050,464,4013,0,0
101,1074,1043,458,4012,0,0
102,1071,1044,459,4012,0,0
103,1073,1043,459,4015,0,0
104,1054,1044,459,4016,0,0
105,1079,1045,454,4014,0,0
106,1076,1046,459,4014,0,0
107,1072,1048,459,4013,0,0
108,1072,1047,458,4014,0,0
109,1066,1045,462,4006,0,0
110,1070,1046,458,4009,0,0
111,1071,1045,457,4016,0,0
112,1068,1042,462,4014,0,0
113,1067,1045,461,4011,0,0
114,1070,1049,462,4013,0,0
115,1071,1053,460,4013,0,0
116,1074,1047,458,4011,0,0
117,1071,1047,456,4014,0,0
118,1073,1046,459,4015,0,0
119,1073,1045,460,4015,0,0
120,1074,1044,459,4013,0,0
121,1065,1046,457,4012,0,0
122,1073,1049,457,4013,0,0
123,1065,1050,458,4012,0,0
124,1073,1045,459,4012,0,0
125,1069,1044,462,4013,0,0
126,1077,1044,459,4015,0,0
127,1075,1047,458,4010,0,0
128,1072,1047,459,4011,0,0
129,1072,1046,463,4014,0,0
130,1062,1049,459,4014,0,0
