time,cyln_pre,tank_pre,force,pos,val1,val2,duty
0,1108,979,535,3085,0,0,30
1,1106,970,536,3085,0,0,30
2,1113,978,536,3086,0,0,30
3,1110,975,537,3085,0,0,30
4,1106,976,531,3084,0,0,30
5,1113,979,533,3082,0,0,30
6,1107,975,534,3085,0,0,30
7,1108,968,535,3087,0,0,30
8,1104,976,536,3086,0,0,30
9,1114,976,535,3084,0,0,30
10,1107,976,537,3089,0,0,30
11,1112,975,535,3085,0,0,30
12,1111,975,536,3086,0,0,30
13,1108,977,535,3087,0,0,30
14,1104,977,536,3086,0,0,30
15,1106,978,534,3088,0,0,30
16,1104,979,534,3088,0,0,30
17,1110,973,535,3086,0,0,30
18,1111,975,532,3086,0,0,30
19,1097,974,535,3087,0,0,30
20,1111,975,535,3088,0,0,30
21,1106,976,535,3086,0,0,30
22,1109,978,533,3086,0,0,30
23,1107,974,536,3088,0,0,30
24,1106,977,535,3087,0,0,30
25,1107,973,528,3086,0,0,30
26,1110,979,539,3087,0,0,30
27,1110,974,537,3087,0,0,30
28,1106,970,532,3086,0,0,30
29,1114,974,535,3087,0,0,30
30,1119,975,535,3087,0,0,30
31,1108,975,527,3086,0,0,30
32,1116,978,536,3086,0,0,30
33,1106,972,531,3086,0,0,30
34,1108,972,536,3084,0,0,30
35,1108,975,537,3086,0,0,30
36,1113,964,535,3087,0,0,30
37,1108,975,536,3087,0,0,30
38,1113,972,536,3085,0,0,30
39,1104,974,535,3086,0,0,30
40,1104,976,536,3086,0,0,30
41,1101,975,535,3085,0,0,30
42,1102,976,535,3087,0,0,30
43,1111,976,536,3086,0,0,30
44,1107,983,535,3086,0,0,30
45,1107,976,534,3087,0,0,30
46,1109,975,534,3086,0,0,30
47,1111,973,536,3085,0,0,30
48,1114,976,535,3086,0,0,30
49,1112,971,535,3088,0,0,30
50,1099,978,535,3088,0,0,30
51,1109,973,538,3085,0,0,30
52,1105,974,535,3085,0,0,30
53,1110,978,534,3085,0,0,30
54,1108,972,532,3085,0,0,30
55,1104,976,534,3084,0,0,30
56,1106,978,535,3087,0,0,30
57,1107,974,535,3086,0,0,30
58,1106,979,536,3088,0,0,30
59,1108,970,536,3086,0,0,30
60,1107,972,535,3085,0,0,30
61,1109,972,532,3086,0,0,30
62,1106,975,536,3087,0,0,30
63,1109,973,536,3086,0,0,30
64,1111,972,536,3086,0,0,30
65,1103,979,534,3086,0,0,30
66,1107,969,536,3086,0,0,30
67,1108,978,534,3086,0,0,30
68,1121,976,534,3086,0,0,30
69,1112,981,537,3087,0,0,30
70,1111,973,538,3088,0,0,30
71,1108,978,533,3088,0,0,30
72,1108,977,536,3087,0,0,30
73,1110,978,532,3086,0,0,30
74,1110,975,532,3087,0,0,30
75,1109,971,536,3085,0,0,30
76,1107,974,534,3087,0,0,30
77,1107,978,534,3087,0,0,30
78,1113,974,533,3086,0,0,30
79,1109,986,534,3087,0,0,30
80,1109,974,533,3086,0,0,30
81,1109,976,534,3085,0,0,30
82,1108,976,529,3087,0,0,30
83,1106,975,534,3086,0,0,30
84,1112,973,535,3086,0,0,30
85,1111,974,534,3086,0,0,30
86,1106,976,536,3086,0,0,30
87,1105,974,537,3088,0,0,30
88,1104,970,535,3087,0,0,30
89,1107,975,536,3087,0,0,30
90,1115,974,532,3085,0,0,30
91,1105,972,529,3087,0,0,30
92,1109,972,534,3087,0,0,30
93,1109,968,536,3083,0,0,30
94,1110,973,536,3086,0,0,30
95,1108,978,533,3086,0,0,30
96,1087,974,536,3081,0,0,30
97,1105,977,535,3086,0,0,30
98,1106,976,537,3087,0,0,30
99,1107,976,534,3087,0,0,30
100,1107,974,534,3089,0,0,30
101,1114,972,538,3086,0,0,30
102,1107,974,535,3086,0,0,30
103,1113,971,534,3085,0,0,30
104,1114,973,536,3088,0,0,30
105,1107,971,536,3086,0,0,30
106,1112,975,538,3085,0,0,30
107,1114,976,528,3085,0,0,30
108,1109,981,537,3085,0,0,30
109,1106,967,536,3086,0,0,30
110,1109,969,535,3086,0,0,30
111,1127,973,536,3086,0,0,30
112,1111,977,536,3087,0,0,30
113,1115,980,532,3087,0,0,30
114,1105,980,533,3084,0,0,30
115,1107,975,539,3084,0,0,30
