time,cyln_pre,tank_pre,force,pos,val1,val2,duty
0,611,614,522,3234,0,0,30
1,620,611,522,3231,0,0,30
2,610,610,528,3231,0,0,30
3,608,626,527,3234,0,0,30
4,624,610,530,3232,0,0,30
5,619,615,527,3233,0,0,30
6,614,613,529,3234,0,0,30
7,620,611,526,3233,0,0,30
8,615,600,529,3233,0,0,30
9,611,613,530,3233,0,0,30
10,619,618,531,3233,0,0,30
11,615,606,528,3235,0,0,30
12,614,610,528,3232,0,0,30
13,613,612,530,3234,0,0,30
14,615,616,527,3234,0,0,30
15,618,623,526,3235,0,0,30
16,610,612,531,3233,0,0,30
17,620,610,528,3234,0,0,30
18,617,615,529,3234,0,0,30
19,617,617,528,3230,0,0,30
20,618,611,529,3237,0,0,30
21,617,621,531,3231,0,0,30
22,616,612,527,3232,0,0,30
23,614,607,528,3233,0,0,30
24,616,612,528,3233,0,0,30
25,615,609,527,3234,0,0,30
26,618,610,527,3234,0,0,30
27,610,609,526,3233,0,0,30
28,616,608,523,3233,0,0,30
29,614,611,532,3232,0,0,30
30,621,617,529,3232,0,0,30
31,616,610,526,3232,0,0,30
32,618,617,531,3232,0,0,30
33,615,608,528,3233,0,0,30
34,616,612,526,3233,0,0,30
35,617,612,527,3235,0,0,30
36,617,613,531,3231,0,0,30
37,622,607,527,3235,0,0,30
38,623,621,529,3233,0,0,30
39,616,610,527,3233,0,0,30
40,617,609,533,3232,0,0,30
41,620,622,533,3229,0,0,30
42,616,615,529,3235,0,0,30
43,616,610,529,3233,0,0,30
44,612,613,529,3232,0,0,30
45,619,610,525,3235,0,0,30
46,616,616,528,3235,0,0,30
47,620,612,526,3234,0,0,30
48,620,611,528,3232,0,0,30
49,614,611,528,3236,0,0,30
50,614,624,525,3234,0,0,30
51,616,607,529,3234,0,0,30
52,616,613,528,3234,0,0,30
53,617,613,525,3237,0,0,30
54,619,614,527,3236,0,0,30
55,620,614,529,3234,0,0,30
56,619,609,527,3236,0,0,30
57,622,608,529,3233,0,0,30
58,619,611,527,3235,0,0,30
59,623,610,528,3233,0,0,30
60,618,601,531,3234,0,0,30
61,612,610,530,3236,0,0,30
62,614,610,526,3233,0,0,30
63,616,615,528,3233,0,0,30
64,612,615,529,3234,0,0,30
65,615,610,527,3233,0,0,30
66,619,610,527,3236,0,0,30
67,618,613,528,3235,0,0,30
68,615,612,525,3234,0,0,30
69,612,611,530,3235,0,0,30
70,608,609,533,3233,0,0,30
71,618,597,530,3235,0,0,30
72,617,610,528,3239,0,0,30
73,616,612,529,3236,0,0,30
74,616,614,530,3234,0,0,30
75,619,610,526,3234,0,0,30
76,611,613,528,3234,0,0,30
77,614,611,527,3237,0,0,30
78,613,610,528,3233,0,0,30
79,616,611,526,3234,0,0,30
80,612,608,526,3235,0,0,30
81,613,608,528,3236,0,0,30
82,613,611,529,3240,0,0,30
83,616,601,527,3235,0,0,30
84,616,613,529,3235,0,0,30
85,613,610,527,3235,0,0,30
86,616,608,526,3227,0,0,30
87,608,606,528,3233,0,0,30
88,616,609,528,3235,0,0,30
89,615,614,528,3235,0,0,30
90,618,609,527,3233,0,0,30
91,615,609,532,3234,0,0,30
92,620,616,527,3234,0,0,30
93,607,604,531,3233,0,0,30
94,616,610,524,3238,0,0,30
95,616,612,529,3233,0,0,30
96,609,611,527,3234,0,0,30
97,612,613,528,3233,0,0,30
98,614,610,526,3233,0,0,30
99,616,612,530,3235,0,0,30
100,618,612,534,3235,0,0,30
101,620,607,532,3230,0,0,30
102,615,616,529,3232,0,0,30
103,623,612,530,3237,0,0,30
104,618,611,529,3234,0,0,30
105,616,611,529,3231,0,0,30
106,624,613,528,3238,0,0,30
107,618,613,523,3232,0,0,30
108,628,613,522,3233,0,0,30
109,613,612,530,3234,0,0,30
110,613,614,524,3234,0,0,30
111,623,617,528,3231,0,0,30
112,617,612,530,3231,0,0,30
113,620,611,528,3234,0,0,30
114,616,612,527,3231,0,0,30
115,619,613,529,3232,0,0,30
116,622,611,528,3235,0,0,30
117,618,610,529,3232,0,0,30
118,616,610,527,3233,0,0,30
119,603,613,530,3232,0,0,30
120,616,615,526,3232,0,0,30
121,628,615,522,3232,0,0,30
122,618,614,530,3229,0,0,30
123,623,611,532,3232,0,0,30
124,614,617,531,3235,0,0,30
125,615,617,530,3231,0,0,30
126,618,621,532,3233,0,0,30
127,617,612,527,3240,0,0,30
128,617,620,526,3232,0,0,30
129,605,614,528,3233,0,0,30
130,618,614,526,3233,0,0,30
131,618,614,527,3234,0,0,30
132,620,613,528,3232,0,0,30
133,617,608,529,3236,0,0,30
134,614,611,530,3233,0,0,30
135,618,612,528,3233,0,0,30
136,616,613,530,3234,0,0,30
137,622,613,529,3232,0,0,30
138,621,609,527,3235,0,0,30
139,621,616,530,3233,0,0,30
140,620,610,528,3236,0,0,30
141,619,620,527,3233,0,0,30
142,626,606,529,3231,0,0,30
143,622,616,529,3234,0,0,30
144,618,619,530,3233,0,0,30
145,627,613,526,3234,0,0,30
146,619,610,533,3234,0,0,30
147,615,615,527,3233,0,0,30
148,615,612,531,3235,0,0,30
149,617,610,530,3235,0,0,30
150,619,611,526,3236,0,0,30
151,610,623,530,3235,0,0,30
152,615,613,531,3238,0,0,30
153,614,611,526,3234,0,0,30
154,616,616,529,3234,0,0,30
155,622,612,527,3228,0,0,30
156,609,609,529,3236,0,0,30
157,618,611,527,3232,0,0,30
158,618,613,527,3233,0,0,30
159,612,619,527,3234,0,0,30
160,615,611,527,3233,0,0,30
161,614,612,529,3234,0,0,30
162,612,619,526,3235,0,0,30
163,613,615,526,3236,0,0,30
164,620,614,528,3232,0,0,30
165,615,611,530,3232,0,0,30
166,617,612,526,3234,0,0,30
167,619,616,528,3232,0,0,30
168,621,622,528,3230,0,0,30
169,621,592,530,3233,0,0,30
170,617,612,530,3235,0,0,30
171,613,613,528,3234,0,0,30
172,618,607,530,3232,0,0,30
173,615,622,528,3236,0,0,30
174,613,613,528,3235,0,0,30
175,613,613,529,3234,0,0,30
176,616,615,519,3237,0,0,30
177,618,611,527,3234,0,0,30
178,616,615,526,3233,0,0,30
179,617,615,530,3232,0,0,30
180,617,606,528,3233,0,0,30
181,627,610,528,3231,0,0,30
182,619,612,528,3233,0,0,30
183,619,606,532,3232,0,0,30
184,617,614,530,3234,0,0,30
185,616,608,530,3235,0,0,30
186,610,606,527,3231,0,0,30
187,615,611,530,3234,0,0,30
188,614,612,527,3233,0,0,30
189,616,616,527,3234,0,0,30
190,615,611,528,3233,0,0,30
191,617,611,524,3232,0,0,30
192,619,621,526,3232,0,0,30
193,615,604,527,3233,0,0,30
194,616,615,531,3232,0,0,30
195,616,611,527,3234,0,0,30
196,617,611,529,3236,0,0,30
197,619,611,529,3234,0,0,30
198,617,608,531,3234,0,0,30
199,614,615,530,3232,0,0,30
200,615,616,528,3230,0,0,30
201,620,616,528,3232,0,0,30
202,618,610,528,3233,0,0,30
203,619,610,526,3234,0,0,30
204,616,605,527,3227,0,0,30
205,619,613,528,3230,0,0,30
206,613,613,530,3236,0,0,30
207,612,611,528,3234,0,0,30
208,615,610,526,3233,0,0,30
209,620,611,528,3234,0,0,30
210,621,600,533,3236,0,0,30
211,618,614,529,3239,0,0,30
212,618,610,529,3233,0,0,30
213,617,612,530,3233,0,0,30
214,621,608,528,3236,0,0,30
215,617,611,531,3235,0,0,30
216,617,610,527,3234,0,0,30
217,617,602,531,3232,0,0,30
218,624,610,526,3234,0,0,30
219,618,609,531,3233,0,0,30
220,620,608,527,3233,0,0,30
221,617,612,527,3232,0,0,30
222,612,612,529,3235,0,0,30
223,609,613,525,3234,0,0,30
224,611,609,531,3233,0,0,30
225,619,609,530,3233,0,0,30
226,620,617,528,3230,0,0,30
227,617,612,528,3230,0,0,30
228,613,615,528,3229,0,0,30
229,616,613,528,3233,0,0,30
230,617,613,532,3233,0,0,30
231,617,610,524,3233,0,0,30
232,619,612,531,3234,0,0,30
233,618,609,530,3230,0,0,30
234,620,601,529,3233,0,0,30
235,616,609,525,3233,0,0,30
236,620,612,526,3232,0,0,30
237,618,610,530,3233,0,0,30
238,610,603,531,3232,0,0,30
239,617,612,527,3234,0,0,30
240,617,611,527,3230,0,0,30
241,619,605,539,3232,0,0,30
242,617,612,527,3231,0,0,30
243,622,605,530,3235,0,0,30
244,617,616,529,3231,0,0,30
245,619,607,529,3228,0,0,30
246,619,613,530,3236,0,0,30
247,618,607,529,3230,0,0,30
248,618,609,535,3234,0,0,30
249,619,609,529,3233,0,0,30
250,618,611,526,3233,0,0,30
251,617,610,528,3234,0,0,30
252,620,605,528,3225,0,0,30
253,620,611,527,3233,0,0,30
254,617,612,530,3231,0,0,30
255,615,611,530,3232,0,0,30
256,616,607,528,3234,0,0,30
257,615,610,531,3233,0,0,30
258,616,610,528,3232,0,0,30
259,617,608,526,3237,0,0,30
260,626,608,530,3229,0,0,30
261,617,610,527,3233,0,0,30
262,621,615,528,3236,0,0,30
263,618,610,527,3233,0,0,30
264,614,608,529,3241,0,0,30
265,614,607,528,3234,0,0,30
266,615,606,530,3233,0,0,30
267,614,607,530,3233,0,0,30
268,615,599,528,3230,0,0,30
269,614,613,528,3233,0,0,30
270,613,609,524,3233,0,0,30
271,617,607,530,3231,0,0,30
272,617,611,526,3232,0,0,30
273,616,618,528,3231,0,0,30
274,618,614,528,3231,0,0,30
275,622,616,530,3233,0,0,30
276,617,606,529,3233,0,0,30
277,614,612,529,3226,0,0,30
278,613,612,528,3235,0,0,30
279,614,613,532,3233,0,0,30
280,616,614,528,3228,0,0,30
281,618,611,523,3233,0,0,30
282,614,609,527,3237,0,0,30
283,615,604,530,3234,0,0,30
284,614,613,530,3232,0,0,30
285,615,609,529,3235,0,0,30
286,618,607,521,3238,0,0,30
287,618,613,528,3234,0,0,30
288,622,604,528,3236,0,0,30
289,618,613,532,3233,0,0,30
290,622,614,532,3233,0,0,30
291,622,615,528,3237,0,0,30
292,618,608,526,3234,0,0,30
293,616,613,527,3234,0,0,30
294,615,614,529,3233,0,0,30
295,616,612,528,3232,0,0,30
296,619,609,530,3235,0,0,30
297,619,608,525,3234,0,0,30
298,616,618,527,3234,0,0,30
299,619,609,525,3232,0,0,30
300,617,611,530,3233,0,0,30
301,628,607,528,3237,0,0,30
302,618,607,527,3231,0,0,30
303,621,614,531,3235,0,0,30
304,615,609,528,3227,0,0,30
305,613,615,527,3233,0,0,30
306,631,612,530,3235,0,0,30
307,622,606,528,3229,0,0,30
308,617,603,527,3234,0,0,30
309,626,614,527,3234,0,0,30
310,617,618,525,3234,0,0,30
311,619,612,528,3234,0,0,30
312,618,612,529,3234,0,0,30
313,618,609,530,3231,0,0,30
314,616,611,526,3233,0,0,30
315,620,614,529,3231,0,0,30
316,619,612,528,3234,0,0,30
317,623,618,530,3229,0,0,30
318,619,622,522,3231,0,0,30
319,621,611,530,3235,0,0,30
320,616,602,529,3236,0,0,30
321,616,608,527,3232,0,0,30
322,616,624,526,3233,0,0,30
323,618,613,529,3236,0,0,30
324,619,611,526,3233,0,0,30
325,620,611,530,3233,0,0,30
326,612,624,528,3234,0,0,30
327,619,610,527,3233,0,0,30
328,625,612,528,3235,0,0,30
329,617,609,527,3233,0,0,30
330,618,608,529,3236,0,0,30
331,619,612,528,3234,0,0,30
332,626,613,526,3234,0,0,30
333,620,620,528,3233,0,0,30
334,623,609,527,3234,0,0,30
335,617,608,529,3235,0,0,30
336,621,610,528,3232,0,0,30
337,617,612,527,3236,0,0,30
338,620,612,528,3231,0,0,30
339,619,609,526,3233,0,0,30
340,618,611,528,3232,0,0,30
341,621,613,529,3234,0,0,30
342,615,612,528,3227,0,0,30
