time,cyln_pre,tank_pre,force,pos,val1,val2
0,299,294,113,1013,0,0
1,299,294,114,1015,0,0
2,300,293,113,1014,0,0
3,296,294,113,1014,0,0
4,298,293,113,1014,0,0
5,299,293,113,1014,0,0
6,298,294,112,1014,0,0
7,302,293,112,1014,0,0
8,299,293,113,1015,0,0
9,303,294,113,1014,0,0
10,300,294,112,1013,0,0
11,300,293,112,1014,0,0
12,299,294,113,1013,0,0
13,299,294,113,1014,0,0
14,299,295,114,1013,0,0
15,300,294,113,1014,0,0
16,299,292,112,1014,0,0
17,297,295,112,1015,0,0
18,298,295,112,1014,0,0
19,296,293,113,1014,0,0
20,298,295,113,1014,0,0
21,298,292,113,1016,0,0
22,298,293,112,1013,0,0
23,303,293,112,1013,0,0
24,299,293,113,1014,0,0
25,299,293,113,1014,0,0
26,299,293,113,1013,0,0
27,299,294,113,1014,0,0
28,300,293,114,1013,0,0
29,297,293,113,1014,0,0
30,300,293,113,1015,0,0
31,299,294,113,1014,0,0
32,300,295,113,1015,0,0
33,300,292,113,1014,0,0
34,303,291,114,1014,0,0
35,299,294,113,1015,0,0
36,300,294,113,1013,0,0
37,300,294,114,1014,0,0
38,297,296,112,1014,0,0
39,299,294,113,1014,0,0
40,300,293,114,1014,0,0
41,297,293,111,1013,0,0
42,299,294,113,1015,0,0
43,299,294,113,1013,0,0
44,299,294,112,1014,0,0
45,302,293,114,1014,0,0
46,302,293,113,1014,0,0
47,300,293,112,1014,0,0
48,299,293,113,1015,0,0
49,299,294,112,1014,0,0
50,300,293,112,1014,0,0
51,299,294,113,1013,0,0
52,300,294,113,1014,0,0
53,299,294,113,1014,0,0
54,302,293,113,1014,0,0
55,301,292,113,1014,0,0
56,299,292,112,1014,0,0
57,299,293,114,1014,0,0
58,298,293,114,1013,0,0
59,298,289,112,1014,0,0
60,299,293,113,1014,0,0
61,299,295,113,1014,0,0
62,298,294,113,1014,0,0
63,299,293,113,1014,0,0
64,302,293,113,1014,0,0
65,300,292,113,1015,0,0
66,299,293,112,1015,0,0
67,301,292,112,1013,0,0
68,299,294,113,1014,0,0
69,299,295,113,1014,0,0
70,299,294,112,1014,0,0
71,299,294,113,1014,0,0
72,300,292,112,1014,0,0
73,299,292,113,1014,0,0
74,299,295,114,1015,0,0
75,299,293,113,1014,0,0
76,297,293,113,1014,0,0
77,300,294,113,1014,0,0
78,300,295,114,1014,0,0
79,300,293,113,1014,0,0
80,301,293,112,1014,0,0
81,299,293,113,1014,0,0
82,298,293,113,1013,0,0
83,299,292,113,1014,0,0
84,299,293,113,1014,0,0
85,297,294,113,1014,0,0
86,300,293,113,1014,0,0
87,299,296,113,1014,0,0
88,298,294,112,1014,0,0
89,299,292,114,1015,0,0
90,299,294,113,1015,0,0
91,301,294,113,1014,0,0
92,298,292,113,1014,0,0
93,299,295,113,1014,0,0
94,299,292,113,1013,0,0
95,299,294,113,1014,0,0
96,298,293,113,1012,0,0
97,297,293,113,1014,0,0
98,299,294,113,1014,0,0
99,300,294,113,1014,0,0
100,299,293,113,1015,0,0
101,296,294,113,1014,0,0
102,298,294,113,1014,0,0
103,299,293,113,1014,0,0
104,298,292,113,1014,0,0
105,300,291,113,1015,0,0
106,300,294,112,1015,0,0
107,301,294,112,1014,0,0
108,298,295,113,1014,0,0
109,299,295,112,1015,0,0
110,299,294,113,1014,0,0
111,299,294,113,1014,0,0
112,298,294,113,1014,0,0
113,299,293,113,1014,0,0
114,299,293,112,1015,0,0
115,297,294,113,1014,0,0
116,299,288,113,1012,0,0
117,299,294,114,1015,0,0
118,299,294,114,1014,0,0
119,299,294,113,1014,0,0
120,299,293,113,1014,0,0
121,300,293,112,1014,0,0
122,300,293,113,1014,0,0
123,301,294,113,1014,0,0
124,299,295,113,1013,0,0
125,299,293,112,1015,0,0
126,300,294,113,1015,0,0
127,298,296,113,1015,0,0
128,300,294,114,1014,0,0
129,300,295,113,1014,0,0
130,299,295,113,1014,0,0
131,299,296,113,1014,0,0
132,299,293,113,1014,0,0
133,297,294,113,1014,0,0
134,297,294,113,1014,0,0
135,298,293,113,1012,0,0
136,299,293,113,1014,0,0
137,300,292,113,1014,0,0
138,299,294,113,1015,0,0
139,300,294,112,1014,0,0
140,297,294,113,1014,0,0
141,299,293,113,1014,0,0
142,299,293,113,1013,0,0
143,299,293,113,1013,0,0
144,299,294,113,1015,0,0
145,303,293,112,1014,0,0
146,300,293,112,1014,0,0
147,300,294,113,1016,0,0
148,299,294,112,1014,0,0
149,296,293,113,1014,0,0
150,299,289,113,1014,0,0
151,298,293,114,1014,0,0
152,298,292,112,1016,0,0
153,299,293,113,1015,0,0
154,298,292,113,1014,0,0
155,300,293,112,1013,0,0
156,300,294,113,1015,0,0
157,300,293,111,1014,0,0
158,300,294,113,1015,0,0
159,301,294,113,1014,0,0
160,298,294,113,1014,0,0
161,298,293,113,1014,0,0
162,300,294,113,1014,0,0
163,299,293,113,1014,0,0
164,299,294,113,1015,0,0
165,299,294,113,1014,0,0
166,300,293,113,1014,0,0
167,298,294,112,1014,0,0
168,299,292,113,1016,0,0
169,298,293,112,1015,0,0
170,298,292,114,1012,0,0
171,299,295,113,1014,0,0
172,298,294,113,1014,0,0
173,300,293,112,1014,0,0
174,299,293,113,1014,0,0
175,297,293,112,1014,0,0
176,298,293,113,1014,0,0
177,297,293,113,1013,0,0
178,299,294,113,1014,0,0
179,300,294,113,1014,0,0
180,299,292,112,1015,0,0
181,298,293,113,1014,0,0
182,300,293,114,1014,0,0
183,299,294,113,1014,0,0
184,301,293,111,1015,0,0
185,298,292,113,1014,0,0
186,299,294,113,1014,0,0
187,299,299,111,1012,0,0
188,299,293,112,1014,0,0
189,301,292,113,1014,0,0
190,298,294,113,1015,0,0
191,299,297,113,1015,0,0
192,299,294,112,1014,0,0
193,298,293,112,1015,0,0
194,299,293,112,1014,0,0
195,301,293,112,1013,0,0
196,300,294,113,1014,0,0
197,300,294,114,1012,0,0
198,298,292,113,1014,0,0
199,296,293,112,1016,0,0
200,300,293,113,1014,0,0
201,301,293,113,1014,0,0
202,300,293,112,1015,0,0
203,299,293,112,1014,0,0
204,301,294,114,1014,0,0
205,300,296,113,1014,0,0
206,299,295,112,1015,0,0
207,299,293,113,1015,0,0
208,299,294,113,1014,0,0
209,299,293,113,1014,0,0
210,298,296,113,1016,0,0
211,299,294,113,1014,0,0
212,299,295,114,1014,0,0
213,301,293,113,1014,0,0
214,300,293,113,1015,0,0
215,298,290,113,1014,0,0
