time,cyln_pre,tank_pre,force,pos,val1,val2
0,606,2403,458,4007,0,0
1,618,2398,452,4007,0,0
2,618,2399,456,4005,0,0
3,617,2405,452,4007,0,0
4,601,2400,456,4007,0,0
5,621,2398,456,4005,0,0
6,620,2399,461,4006,0,0
7,619,2398,454,4003,0,0
8,626,2399,458,4007,0,0
9,614,2401,456,4005,0,0
10,618,2395,458,4005,0,0
11,620,2399,454,4006,0,0
12,622,2395,457,4006,0,0
13,619,2399,460,4005,0,0
14,621,2407,458,4007,0,0
15,621,2402,455,4006,0,0
16,623,2396,461,4006,0,0
17,625,2396,449,4004,0,0
18,622,2396,452,4006,0,0
19,610,2402,457,4005,0,0
20,612,2404,455,4003,0,0
21,624,2397,456,4004,0,0
22,612,2399,454,4005,0,0
23,622,2400,456,4004,0,0
24,616,2402,453,4006,0,0
25,624,2399,457,4007,0,0
26,621,2394,458,4005,0,0
27,613,2404,457,4004,0,0
28,621,2397,457,4006,0,0
29,620,2401,462,4005,0,0
30,615,2399,457,4003,0,0
31,619,2401,459,4006,0,0
32,618,2404,456,4007,0,0
33,617,2399,450,4005,0,0
34,624,2397,456,4009,0,0
35,615,2401,456,4011,0,0
36,622,2403,460,4004,0,0
37,617,2396,455,4007,0,0
38,620,2399,455,4004,0,0
39,620,2403,459,4006,0,0
40,618,2406,456,4006,0,0
41,621,2401,459,4006,0,0
42,598,2402,457,4006,0,0
43,614,2400,464,4005,0,0
44,617,2398,457,4004,0,0
45,614,2397,458,4010,0,0
46,619,2401,458,4007,0,0
47,612,2401,452,4006,0,0
48,621,2404,455,4009,0,0
49,617,2397,456,4007,0,0
50,618,2395,458,4005,0,0
51,621,2395,456,4005,0,0
52,603,2404,456,4007,0,0
53,617,2398,456,4003,0,0
54,621,2394,457,3999,0,0
55,617,2403,453,4008,0,0
56,616,2400,454,4006,0,0
57,621,2399,457,4005,0,0
58,617,2412,455,4004,0,0
59,618,2393,455,4004,0,0
60,617,2400,458,4007,0,0
61,618,2399,457,4009,0,0
62,620,2394,458,4007,0,0
63,623,2399,456,4006,0,0
64,619,2400,453,4007,0,0
65,620,2397,457,4006,0,0
66,620,2394,457,4004,0,0
67,614,2401,460,4006,0,0
68,618,2399,459,4006,0,0
69,615,2398,456,4006,0,0
70,618,2401,458,4006,0,0
71,621,2404,456,4006,0,0
72,616,2399,455,3996,0,0
73,624,2394,458,4005,0,0
74,620,2400,456,4005,0,0
75,620,2400,459,4006,0,0
76,630,2395,457,4004,0,0
77,621,2399,461,4005,0,0
78,619,2400,454,4005,0,0
79,614,2399,458,4004,0,0
80,618,2399,456,4008,0,0
81,617,2397,455,4007,0,0
82,618,2398,458,4001,0,0
83,613,2398,456,4005,0,0
84,619,2397,457,4005,0,0
85,617,2403,456,4009,0,0
86,619,2396,459,4006,0,0
87,612,2400,454,4006,0,0
88,618,2399,457,4005,0,0
89,616,2400,456,4006,0,0
90,616,2404,452,4003,0,0
91,611,2399,458,4006,0,0
92,618,2399,457,4005,0,0
93,620,2397,460,4004,0,0
94,617,2398,455,4008,0,0
95,616,2404,457,4006,0,0
96,616,2398,458,4007,0,0
97,602,2403,458,4005,0,0
98,613,2401,458,4005,0,0
99,615,2397,456,4006,0,0
100,619,2397,457,4005,0,0
101,614,2398,458,4006,0,0
102,617,2405,457,4005,0,0
103,622,2400,459,4004,0,0
104,622,2397,458,4004,0,0
105,618,2395,453,4004,0,0
106,623,2405,456,4003,0,0
107,617,2400,457,4006,0,0
108,617,2398,459,4006,0,0
109,619,2395,459,4005,0,0
110,607,2401,457,4004,0,0
111,609,2395,457,4004,0,0
112,619,2397,456,4005,0,0
113,616,2403,455,4008,0,0
114,622,2401,456,4006,0,0
115,619,2397,458,4007,0,0
116,622,2400,456,4005,0,0
117,623,2398,459,4006,0,0
118,621,2403,458,4004,0,0
119,617,2400,457,4006,0,0
120,616,2399,457,4006,0,0
121,626,2401,458,4003,0,0
122,620,2397,457,4005,0,0
123,620,2396,457,4005,0,0
124,614,2397,455,4004,0,0
125,619,2403,454,4009,0,0
126,619,2402,460,4001,0,0
127,619,2400,457,4006,0,0
128,617,2404,455,4004,0,0
129,620,2399,455,4001,0,0
130,618,2381,455,4003,0,0
131,609,2401,459,4007,0,0
132,616,2399,453,4007,0,0
133,632,2399,457,4005,0,0
134,619,2401,454,4006,0,0
135,616,2395,458,4005,0,0
136,613,2399,454,4006,0,0
137,621,2400,458,4005,0,0
138,614,2402,457,4008,0,0
139,597,2397,454,4005,0,0
140,615,2400,455,4006,0,0
141,621,2396,458,4004,0,0
142,614,2400,457,4005,0,0
143,618,2401,456,4007,0,0
144,617,2401,458,4006,0,0
145,621,2400,458,4006,0,0
146,619,2402,457,4007,0,0
147,611,2395,458,4006,0,0
148,612,2401,456,4006,0,0
149,616,2397,457,4005,0,0
150,608,2402,457,4005,0,0
151,612,2404,459,4007,0,0
152,615,2397,456,4006,0,0
153,618,2403,456,4006,0,0
154,621,2400,456,4005,0,0
155,622,2403,462,4006,0,0
156,621,2395,459,4007,0,0
157,613,2394,456,4007,0,0
158,619,2399,457,4006,0,0
159,614,2402,459,4006,0,0
160,618,2396,456,4003,0,0
161,616,2402,457,4004,0,0
162,622,2400,459,4004,0,0
163,618,2398,457,4008,0,0
164,616,2404,455,4006,0,0
165,620,2399,455,4005,0,0
166,617,2399,457,4006,0,0
167,618,2400,457,4006,0,0
168,629,2395,455,4006,0,0
169,615,2394,456,4004,0,0
170,619,2401,458,4005,0,0
171,620,2396,457,4004,0,0
172,619,2404,456,4005,0,0
173,622,2398,458,4014,0,0
174,617,2403,458,4006,0,0
175,620,2401,452,4007,0,0
176,620,2397,456,4006,0,0
177,619,2405,456,4007,0,0
178,625,2400,459,4005,0,0
179,617,2395,457,4005,0,0
180,617,2399,457,4006,0,0
181,619,2403,459,4005,0,0
182,620,2397,456,4005,0,0
183,619,2400,456,4016,0,0
184,617,2398,457,4008,0,0
185,615,2407,456,4000,0,0
186,621,2399,453,4004,0,0
187,617,2401,455,4008,0,0
188,613,2405,454,4007,0,0
189,594,2399,455,4007,0,0
190,619,2402,456,4007,0,0
191,619,2399,456,4006,0,0
192,615,2396,456,4007,0,0
193,616,2402,457,4005,0,0
194,607,2397,458,4005,0,0
195,611,2397,456,4006,0,0
196,617,2397,455,4006,0,0
197,626,2393,458,4006,0,0
198,619,2398,456,4006,0,0
199,618,2397,456,4006,0,0
200,613,2401,456,4002,0,0
201,616,2403,456,4005,0,0
202,615,2401,457,4007,0,0
203,616,2399,459,4004,0,0
204,620,2403,458,4008,0,0
205,618,2415,461,4007,0,0
206,617,2402,454,4005,0,0
207,609,2402,458,4005,0,0
208,626,2402,456,4009,0,0
209,622,2394,455,4006,0,0
210,625,2402,457,4006,0,0
211,616,2400,459,4006,0,0
212,613,2402,456,4006,0,0
213,617,2404,457,4007,0,0
214,618,2396,458,4001,0,0
215,619,2403,455,4005,0,0
216,613,2402,455,4006,0,0
217,619,2396,455,4005,0,0
218,622,2400,454,4006,0,0
219,617,2400,455,3999,0,0
220,621,2401,458,4004,0,0
221,618,2404,455,4005,0,0
222,616,2399,457,4006,0,0
223,619,2401,454,4002,0,0
224,615,2402,454,4006,0,0
225,618,2406,456,4006,0,0
226,616,2403,453,4007,0,0
227,614,2402,456,4005,0,0
228,619,2400,458,4006,0,0
229,608,2398,457,4005,0,0
230,615,2396,458,4007,0,0
231,619,2391,457,4007,0,0
232,612,2399,457,4006,0,0
233,613,2399,456,4006,0,0
234,619,2400,456,4008,0,0
235,614,2402,455,4004,0,0
236,616,2402,458,4006,0,0
237,619,2403,456,4005,0,0
238,618,2401,456,4005,0,0
239,619,2396,457,4005,0,0
240,617,2397,461,4005,0,0
241,616,2393,455,4004,0,0
242,637,2403,457,4007,0,0
243,614,2401,455,4005,0,0
244,620,2396,457,4004,0,0
245,618,2403,454,4006,0,0
246,619,2400,454,4006,0,0
247,623,2403,455,4006,0,0
248,623,2400,456,3996,0,0
249,614,2395,460,4007,0,0
250,626,2401,460,4005,0,0
251,619,2398,455,4006,0,0
252,622,2396,456,4006,0,0
253,621,2397,452,4006,0,0
254,616,2397,460,4005,0,0
255,619,2395,454,4006,0,0
256,613,2397,455,4006,0,0
257,614,2405,457,4006,0,0
258,609,2398,456,4009,0,0
259,615,2401,456,4007,0,0
260,618,2405,458,4006,0,0
261,617,2389,456,4005,0,0
262,617,2401,457,4005,0,0
263,616,2396,457,4006,0,0
264,624,2402,457,4006,0,0
265,619,2391,456,4004,0,0
266,619,2396,460,4007,0,0
267,616,2397,457,4008,0,0
268,619,2408,457,4004,0,0
269,619,2402,455,4006,0,0
270,614,2398,454,4006,0,0
271,616,2398,453,4009,0,0
272,615,2400,458,4008,0,0
273,619,2400,459,4006,0,0
274,616,2405,456,4007,0,0
275,616,2397,457,4007,0,0
276,622,2398,454,4004,0,0
277,621,2396,457,4007,0,0
278,608,2401,457,4006,0,0
279,621,2395,457,4005,0,0
280,618,2395,459,4006,0,0
281,621,2403,457,4007,0,0
282,620,2393,458,4006,0,0
283,622,2401,456,4005,0,0
284,622,2396,456,4006,0,0
285,621,2399,458,4004,0,0
286,620,2398,458,4006,0,0
287,622,2398,457,4006,0,0
288,619,2403,458,4006,0,0
289,621,2400,456,4005,0,0
290,619,2397,456,4007,0,0
291,618,2402,451,4006,0,0
292,617,2399,456,4007,0,0
293,624,2395,457,4006,0,0
294,617,2397,456,4007,0,0
295,619,2398,456,4007,0,0
296,620,2394,456,4006,0,0
297,616,2404,455,4004,0,0
298,611,2399,455,4006,0,0
299,620,2398,456,4007,0,0
300,620,2399,457,4006,0,0
301,617,2400,457,4007,0,0
302,617,2396,457,4003,0,0
303,623,2403,458,4007,0,0
304,619,2394,455,4006,0,0
305,622,2402,456,4005,0,0
306,609,2396,457,4004,0,0
307,631,2400,458,4006,0,0
308,618,2402,455,4006,0,0
309,620,2402,457,4006,0,0
310,621,2400,458,4004,0,0
311,621,2393,457,4008,0,0
312,617,2397,456,4008,0,0
313,620,2399,455,4005,0,0
314,608,2398,458,4002,0,0
315,621,2398,457,4006,0,0
316,615,2398,455,4006,0,0
317,619,2395,455,4007,0,0
318,619,2394,455,4009,0,0
319,620,2400,457,4007,0,0
320,618,2400,457,4005,0,0
321,619,2399,461,4005,0,0
322,620,2397,457,4006,0,0
323,620,2403,457,4004,0,0
324,619,2399,456,4007,0,0
325,621,2392,455,4003,0,0
326,625,2405,456,4006,0,0
327,619,2400,458,4006,0,0
328,618,2387,454,4007,0,0
329,611,2396,457,4007,0,0
330,618,2406,457,4002,0,0
331,617,2401,456,4009,0,0
332,611,2399,457,4005,0,0
333,616,2399,455,4007,0,0
334,621,2398,460,4004,0,0
335,625,2400,459,4005,0,0
336,617,2399,457,4008,0,0
337,615,2402,453,4006,0,0
338,621,2392,456,4005,0,0
339,618,2401,455,4005,0,0
340,619,2405,459,4005,0,0
341,612,2405,456,4015,0,0
342,616,2398,456,4006,0,0
343,618,2400,458,4007,0,0
344,618,2400,455,4006,0,0
345,622,2398,454,4004,0,0
346,617,2400,457,4002,0,0
347,616,2394,456,4005,0,0
348,619,2399,459,4004,0,0
349,619,2403,458,4011,0,0
350,615,2397,448,4006,0,0
351,621,2402,458,4006,0,0
352,621,2406,453,4007,0,0
353,614,2398,457,4007,0,0
354,622,2397,457,4003,0,0
355,612,2398,461,4006,0,0
356,615,2400,455,4005,0,0
357,614,2393,459,4005,0,0
358,615,2399,458,3999,0,0
359,613,2393,454,4006,0,0
360,614,2398,460,4006,0,0
361,615,2400,457,4003,0,0
362,620,2404,458,4007,0,0
363,619,2400,457,4005,0,0
364,613,2382,457,4002,0,0
365,620,2397,455,4004,0,0
366,615,2402,455,4006,0,0
367,616,2396,454,3999,0,0
368,619,2397,456,4009,0,0
369,616,2397,460,4001,0,0
370,627,2397,455,4013,0,0
371,612,2395,460,4000,0,0
372,618,2392,458,4005,0,0
373,623,2401,454,4006,0,0
374,618,2402,458,4006,0,0
375,620,2399,456,4008,0,0
376,623,2401,461,4007,0,0
377,620,2403,455,4004,0,0
378,618,2401,452,4005,0,0
379,619,2402,457,4006,0,0
380,622,2410,453,4008,0,0
381,622,2398,460,4007,0,0
382,620,2403,455,4006,0,0
383,609,2396,456,4006,0,0
384,622,2406,457,4003,0,0
385,618,2400,455,4005,0,0
386,608,2399,456,4006,0,0
387,617,2398,456,4010,0,0
388,614,2402,456,3999,0,0
389,620,2393,460,4006,0,0
390,619,2395,460,4004,0,0
391,615,2396,458,4005,0,0
392,618,2398,458,4006,0,0
393,616,2392,456,4004,0,0
394,616,2400,456,4007,0,0
395,619,2400,457,4005,0,0
396,621,2407,456,4008,0,0
397,609,2401,457,4006,0,0
398,613,2400,458,4004,0,0
399,617,2398,453,4008,0,0
400,616,2400,457,4006,0,0
401,619,2398,455,4006,0,0
402,620,2400,457,4007,0,0
403,615,2398,455,4007,0,0
404,616,2397,455,4005,0,0
405,617,2391,458,4007,0,0
406,618,2393,457,4007,0,0
407,619,2397,455,4006,0,0
408,619,2402,456,4003,0,0
409,619,2403,458,4007,0,0
410,616,2398,454,4004,0,0
411,621,2401,457,4005,0,0
412,616,2401,459,4006,0,0
413,618,2398,457,4007,0,0
414,617,2387,458,4008,0,0
415,615,2390,457,4003,0,0
416,627,2397,456,4005,0,0
417,616,2402,455,4005,0,0
418,621,2395,455,4005,0,0
419,613,2397,456,4004,0,0
420,617,2397,456,4004,0,0
421,616,2400,454,4005,0,0
422,618,2400,455,4005,0,0
423,624,2418,456,4006,0,0
424,617,2401,459,4006,0,0
425,620,2400,460,4009,0,0
426,623,2393,457,4007,0,0
427,623,2400,458,4004,0,0
428,612,2398,460,4005,0,0
429,618,2398,460,4005,0,0
430,617,2402,456,4005,0,0
431,623,2402,457,4006,0,0
432,620,2399,456,4006,0,0
433,622,2397,455,4005,0,0
434,615,2402,461,4007,0,0
435,620,2399,455,4007,0,0
436,618,2402,456,4006,0,0
437,614,2397,457,4007,0,0
438,621,2398,456,4008,0,0
439,622,2400,456,4005,0,0
440,622,2394,456,4004,0,0
441,615,2398,452,4003,0,0
442,627,2399,457,4004,0,0
443,618,2399,458,4005,0,0
444,625,2401,457,4005,0,0
445,627,2397,454,4007,0,0
446,615,2400,450,4006,0,0
447,617,2397,454,4006,0,0
448,617,2393,457,4005,0,0
449,620,2405,457,4005,0,0
450,620,2402,458,4006,0,0
451,621,2395,456,4006,0,0
452,619,2400,456,4002,0,0
453,616,2406,456,4004,0,0
454,614,2398,456,4004,0,0
455,615,2401,458,4008,0,0
456,618,2398,456,4006,0,0
457,604,2396,460,4002,0,0
458,608,2399,458,4006,0,0
459,623,2396,457,4004,0,0
460,619,2401,457,4004,0,0
461,618,2400,457,4006,0,0
462,613,2405,456,4006,0,0
463,617,2401,456,4005,0,0
464,623,2398,457,4002,0,0
465,623,2397,457,4009,0,0
466,619,2396,456,4007,0,0
467,618,2400,455,4003,0,0
468,617,2390,458,4006,0,0
469,622,2399,456,4009,0,0
470,617,2401,459,4005,0,0
471,619,2389,458,4007,0,0
472,618,2398,458,4011,0,0
473,617,2408,457,4007,0,0
