time,cyln_pre,tank_pre,force,pos,val1,val2,duty
0,780,1576,528,4095,0,0,10
1,777,1581,526,4095,0,0,10
2,777,1579,536,4095,0,0,10
3,779,1575,532,4095,0,0,10
4,768,1579,532,4095,0,0,10
5,780,1568,530,4095,0,0,10
6,774,1574,530,4095,0,0,10
7,777,1574,529,4095,0,0,10
8,780,1581,534,4095,0,0,10
9,778,1577,528,4095,0,0,10
10,782,1569,528,4095,0,0,10
11,775,1578,528,4095,0,0,10
12,780,1579,528,4095,0,0,10
13,777,1572,526,4095,0,0,10
14,780,1579,530,4095,0,0,10
15,781,1578,531,4095,0,0,10
16,775,1581,530,4095,0,0,10
17,782,1582,529,4095,0,0,10
18,783,1574,520,4095,0,0,10
19,779,1580,531,4095,0,0,10
20,779,1574,530,4095,0,0,10
21,781,1575,531,4095,0,0,10
22,776,1579,523,4095,0,0,10
23,770,1576,532,4095,0,0,10
24,777,1566,531,4095,0,0,10
25,780,1576,531,4095,0,0,10
26,783,1576,530,4095,0,0,10
27,778,1570,526,4095,0,0,10
28,776,1579,530,4095,0,0,10
29,779,1577,530,4095,0,0,10
30,781,1578,528,4095,0,0,10
31,774,1570,528,4095,0,0,10
32,777,1577,527,4095,0,0,10
33,780,1575,530,4095,0,0,10
34,778,1576,529,4095,0,0,10
35,777,1579,530,4095,0,0,10
36,779,1582,531,4095,0,0,10
37,781,1576,528,4095,0,0,10
38,777,1574,529,4095,0,0,10
39,776,1580,529,4095,0,0,10
40,777,1577,526,4095,0,0,10
41,777,1576,528,4095,0,0,10
42,777,1572,531,4095,0,0,10
43,777,1578,529,4095,0,0,10
44,776,1576,529,4095,0,0,10
45,776,1574,530,4095,0,0,10
46,778,1573,529,4095,0,0,10
47,778,1576,530,4095,0,0,10
48,772,1575,528,4095,0,0,10
49,781,1573,529,4095,0,0,10
50,777,1575,530,4095,0,0,10
51,784,1577,527,4095,0,0,10
52,775,1575,530,4095,0,0,10
53,780,1581,527,4095,0,0,10
54,778,1573,530,4095,0,0,10
55,777,1579,533,4095,0,0,10
56,779,1577,531,4095,0,0,10
57,781,1576,529,4095,0,0,10
58,782,1576,531,4095,0,0,10
59,761,1575,530,4095,0,0,10
60,778,1577,531,4095,0,0,10
61,778,1576,524,4095,0,0,10
62,776,1577,527,4095,0,0,10
63,778,1573,527,4095,0,0,10
64,778,1577,535,4095,0,0,10
65,782,1579,526,4095,0,0,10
66,764,1569,531,4095,0,0,10
67,776,1575,529,4095,0,0,10
68,780,1578,527,4095,0,0,10
69,779,1578,527,4095,0,0,10
70,779,1581,528,4095,0,0,10
71,777,1576,528,4095,0,0,10
72,776,1578,527,4095,0,0,10
73,775,1579,533,4095,0,0,10
74,779,1586,529,4095,0,0,10
75,783,1577,529,4095,0,0,10
76,779,1585,531,4095,0,0,10
77,778,1572,529,4095,0,0,10
78,778,1581,531,4095,0,0,10
79,775,1578,528,4095,0,0,10
80,780,1580,529,4095,0,0,10
81,782,1576,530,4095,0,0,10
82,783,1574,526,4095,0,0,10
83,782,1576,527,4095,0,0,10
84,781,1573,535,4095,0,0,10
85,778,1578,529,4095,0,0,10
86,785,1576,532,4095,0,0,10
87,780,1576,526,4095,0,0,10
88,780,1581,528,4095,0,0,10
89,780,1571,529,4095,0,0,10
90,780,1573,522,4095,0,0,10
91,787,1574,529,4095,0,0,10
92,776,1575,531,4095,0,0,10
93,779,1577,524,4095,0,0,10
94,775,1576,527,4095,0,0,10
95,776,1569,527,4095,0,0,10
96,779,1578,530,4095,0,0,10
97,778,1582,528,4095,0,0,10
98,775,1574,529,4095,0,0,10
99,780,1578,529,4095,0,0,10
100,776,1579,530,4095,0,0,10
101,785,1575,529,4095,0,0,10
102,780,1579,530,4095,0,0,10
103,781,1576,532,4095,0,0,10
104,783,1576,529,4095,0,0,10
105,779,1575,528,4095,0,0,10
106,776,1576,536,4095,0,0,10
107,779,1578,532,4095,0,0,10
108,782,1578,529,4095,0,0,10
109,780,1577,527,4095,0,0,10
110,775,1581,532,4095,0,0,10
111,779,1574,528,4095,0,0,10
112,778,1575,531,4095,0,0,10
113,772,1574,530,4095,0,0,10
114,772,1574,528,4095,0,0,10
115,783,1578,528,4095,0,0,10
116,777,1576,527,4095,0,0,10
117,783,1581,530,4095,0,0,10
118,776,1577,530,4095,0,0,10
119,778,1577,530,4095,0,0,10
120,781,1577,532,4095,0,0,10
121,777,1579,528,4095,0,0,10
122,775,1575,531,4095,0,0,10
123,779,1571,530,4095,0,0,10
124,782,1577,532,4095,0,0,10
125,778,1575,533,4095,0,0,10
126,777,1574,531,4095,0,0,10
127,785,1578,528,4095,0,0,10
128,779,1575,528,4095,0,0,10
129,781,1574,529,4095,0,0,10
130,776,1577,529,4095,0,0,10
131,778,1577,529,4095,0,0,10
132,775,1579,527,4095,0,0,10
133,776,1574,529,4095,0,0,10
134,780,1577,530,4095,0,0,10
135,773,1575,527,4095,0,0,10
136,780,1583,529,4095,0,0,10
137,776,1577,528,4095,0,0,10
138,778,1576,518,4095,0,0,10
139,776,1575,528,4095,0,0,10
140,775,1583,529,4095,0,0,10
141,778,1575,527,4095,0,0,10
142,780,1577,531,4095,0,0,10
143,776,1577,528,4095,0,0,10
144,782,1573,530,4095,0,0,10
145,778,1584,530,4095,0,0,10
146,778,1581,529,4095,0,0,10
147,791,1577,529,4095,0,0,10
148,780,1574,529,4095,0,0,10
149,778,1585,526,4095,0,0,10
150,782,1578,530,4095,0,0,10
151,780,1570,526,4095,0,0,10
152,779,1576,528,4095,0,0,10
153,780,1571,525,4095,0,0,10
154,776,1585,529,4095,0,0,10
155,777,1579,527,4095,0,0,10
156,778,1576,529,4095,0,0,10
157,781,1576,530,4095,0,0,10
158,779,1576,529,4095,0,0,10
159,782,1580,526,4095,0,0,10
160,784,1576,530,4095,0,0,10
161,780,1581,530,4095,0,0,10
162,778,1579,530,4095,0,0,10
163,772,1566,532,4095,0,0,10
164,779,1574,526,4095,0,0,10
165,777,1575,526,4095,0,0,10
166,781,1572,528,4095,0,0,10
167,778,1565,527,4095,0,0,10
168,782,1570,529,4095,0,0,10
169,780,1573,529,4095,0,0,10
170,775,1576,530,4095,0,0,10
171,777,1578,529,4095,0,0,10
172,780,1575,528,4095,0,0,10
173,773,1575,530,4095,0,0,10
174,775,1573,529,4095,0,0,10
175,778,1577,526,4095,0,0,10
176,783,1580,530,4095,0,0,10
177,781,1578,529,4095,0,0,10
178,783,1579,531,4095,0,0,10
179,775,1576,527,4095,0,0,10
180,778,1581,527,4095,0,0,10
181,774,1573,530,4095,0,0,10
182,783,1578,531,4095,0,0,10
183,779,1578,528,4095,0,0,10
184,775,1578,527,4095,0,0,10
185,782,1576,526,4095,0,0,10
186,778,1580,531,4095,0,0,10
