time,cyln_pre,tank_pre,force,pos,val1,val2
0,931,2450,458,4009,0,0
1,931,2449,456,4006,0,0
2,929,2452,460,4010,0,0
3,931,2451,454,4008,0,0
4,929,2447,456,4010,0,0
5,927,2450,457,4006,0,0
6,929,2451,457,4006,0,0
7,933,2447,456,4007,0,0
8,927,2455,456,4014,0,0
9,927,2446,455,4008,0,0
10,928,2452,455,4007,0,0
11,925,2453,457,4009,0,0
12,929,2452,459,4007,0,0
13,930,2457,455,4006,0,0
14,924,2451,455,4007,0,0
15,926,2452,457,4007,0,0
16,932,2452,457,4007,0,0
17,937,2451,457,4006,0,0
18,929,2452,454,4006,0,0
19,927,2450,458,4004,0,0
20,932,2451,458,4007,0,0
21,929,2449,456,4004,0,0
22,931,2451,455,4005,0,0
23,917,2449,454,4004,0,0
24,929,2452,455,4006,0,0
25,928,2453,455,4007,0,0
26,927,2455,461,4011,0,0
27,932,2454,452,4006,0,0
28,929,2446,456,4008,0,0
29,927,2451,456,4008,0,0
30,917,2452,457,4006,0,0
31,923,2447,456,4005,0,0
32,931,2452,456,4006,0,0
33,941,2451,450,4005,0,0
34,928,2453,458,4005,0,0
35,932,2452,458,4008,0,0
36,929,2448,457,4006,0,0
37,925,2457,459,4006,0,0
38,932,2448,456,4006,0,0
39,924,2454,457,4007,0,0
40,926,2450,460,4006,0,0
41,928,2449,458,4012,0,0
42,934,2451,456,4006,0,0
43,930,2451,462,4006,0,0
44,934,2449,457,4007,0,0
45,918,2450,455,4007,0,0
46,927,2449,456,4006,0,0
47,928,2449,456,4005,0,0
48,922,2450,456,4007,0,0
49,933,2450,451,4005,0,0
50,933,2445,456,4008,0,0
51,931,2454,457,4007,0,0
52,927,2451,457,4007,0,0
53,928,2450,455,4005,0,0
54,932,2451,456,4007,0,0
55,927,2451,456,4008,0,0
56,922,2448,457,4003,0,0
57,925,2444,456,4005,0,0
58,932,2449,459,4007,0,0
59,928,2450,458,4006,0,0
60,923,2451,454,4006,0,0
61,928,2448,459,4006,0,0
62,926,2456,458,4008,0,0
63,928,2447,455,4007,0,0
64,930,2450,457,4003,0,0
65,931,2454,455,4010,0,0
66,928,2447,460,4007,0,0
67,931,2452,456,4009,0,0
68,934,2453,459,4006,0,0
69,917,2454,456,4007,0,0
70,926,2448,455,4005,0,0
71,934,2448,459,4006,0,0
72,925,2449,458,4006,0,0
73,927,2452,455,4009,0,0
74,925,2453,454,4006,0,0
75,937,2449,458,4007,0,0
76,929,2449,458,4007,0,0
77,929,2451,458,4004,0,0
78,926,2444,456,4009,0,0
79,927,2451,451,4006,0,0
80,932,2451,457,4008,0,0
81,929,2448,454,4005,0,0
82,929,2450,455,4004,0,0
83,931,2450,457,4006,0,0
84,925,2457,455,4008,0,0
85,933,2451,454,4006,0,0
86,928,2449,457,4002,0,0
87,935,2450,457,4007,0,0
88,929,2445,456,4007,0,0
89,928,2450,457,4009,0,0
90,929,2451,455,4005,0,0
91,931,2449,458,4005,0,0
92,932,2454,459,4007,0,0
93,928,2450,455,4006,0,0
94,929,2444,456,4008,0,0
95,923,2447,456,4009,0,0
96,929,2451,459,4008,0,0
97,933,2441,458,4005,0,0
98,929,2453,457,4007,0,0
99,936,2451,459,4005,0,0
100,914,2454,455,4006,0,0
101,927,2449,456,4006,0,0
102,929,2446,458,4007,0,0
103,930,2447,457,4002,0,0
104,926,2449,457,4007,0,0
105,928,2450,455,4008,0,0
106,932,2450,456,4004,0,0
107,932,2444,457,4008,0,0
108,927,2453,456,4007,0,0
109,930,2448,459,4007,0,0
110,913,2446,456,4005,0,0
111,926,2450,458,4004,0,0
112,931,2451,457,4010,0,0
113,931,2454,456,4006,0,0
114,928,2452,458,4007,0,0
115,925,2462,459,4006,0,0
116,934,2447,458,4007,0,0
117,931,2447,456,4004,0,0
118,928,2449,457,4007,0,0
119,933,2447,458,4008,0,0
120,927,2454,457,4007,0,0
121,929,2455,456,4009,0,0
122,930,2451,458,4006,0,0
123,941,2450,457,4007,0,0
124,928,2451,456,4006,0,0
125,927,2452,454,4005,0,0
126,930,2453,458,4005,0,0
127,924,2451,458,4007,0,0
128,925,2449,457,4005,0,0
129,927,2451,460,4008,0,0
130,927,2453,456,4006,0,0
131,931,2453,455,4006,0,0
132,932,2447,455,4006,0,0
133,930,2445,456,4005,0,0
134,929,2449,456,4007,0,0
135,930,2451,455,4004,0,0
136,937,2451,456,4008,0,0
137,922,2458,454,4007,0,0
138,929,2452,456,4007,0,0
139,928,2450,455,4011,0,0
140,933,2452,458,4008,0,0
141,928,2450,458,4005,0,0
142,929,2451,459,4006,0,0
143,931,2451,454,4005,0,0
144,929,2452,457,4005,0,0
145,927,2450,459,4003,0,0
146,928,2447,457,4007,0,0
147,931,2443,452,4006,0,0
148,934,2456,457,4006,0,0
149,935,2453,455,4007,0,0
150,932,2449,457,4004,0,0
151,931,2450,455,4010,0,0
152,925,2451,456,4006,0,0
153,925,2452,457,4009,0,0
154,928,2449,455,4009,0,0
155,929,2455,457,4006,0,0
156,919,2453,455,4005,0,0
157,933,2446,455,4005,0,0
158,928,2450,458,4006,0,0
159,930,2454,459,4006,0,0
160,930,2447,450,4006,0,0
161,922,2447,455,4006,0,0
162,929,2448,458,4008,0,0
163,925,2447,458,4009,0,0
164,933,2451,455,4007,0,0
165,931,2451,456,4008,0,0
166,934,2452,460,4007,0,0
167,910,2452,456,4007,0,0
168,927,2446,456,4005,0,0
169,929,2450,455,4006,0,0
170,929,2452,455,4009,0,0
171,927,2450,459,4007,0,0
172,943,2449,455,4007,0,0
173,928,2451,457,4006,0,0
174,927,2449,457,4009,0,0
175,930,2452,461,4005,0,0
176,925,2448,456,4007,0,0
177,927,2453,458,4006,0,0
178,931,2443,460,4006,0,0
179,904,2450,456,4007,0,0
180,929,2452,457,4009,0,0
181,919,2454,456,4007,0,0
