time,cyln_pre,tank_pre,force,pos,val1,val2,duty
0,619,620,523,3212,0,0,100
1,616,622,521,3211,0,0,100
2,625,619,523,3211,0,0,100
3,622,621,518,3214,0,0,100
4,622,621,521,3211,0,0,100
5,623,624,522,3211,0,0,100
6,619,622,523,3211,0,0,100
7,621,615,522,3211,0,0,100
8,623,611,520,3211,0,0,100
9,618,621,523,3215,0,0,100
10,614,616,525,3215,0,0,100
11,614,616,523,3212,0,0,100
12,617,615,523,3213,0,0,100
13,618,614,522,3212,0,0,100
14,614,607,523,3211,0,0,100
15,612,620,521,3212,0,0,100
16,621,612,522,3211,0,0,100
17,620,619,522,3212,0,0,100
18,618,624,529,3212,0,0,100
19,623,620,523,3213,0,0,100
20,623,627,524,3212,0,0,100
21,623,614,522,3212,0,0,100
22,621,616,522,3210,0,0,100
23,619,615,524,3211,0,0,100
24,622,612,520,3212,0,0,100
25,619,614,524,3212,0,0,100
26,619,616,521,3212,0,0,100
27,613,618,521,3211,0,0,100
28,622,614,523,3212,0,0,100
29,618,619,522,3212,0,0,100
30,622,616,525,3214,0,0,100
31,622,618,523,3211,0,0,100
32,622,622,524,3212,0,0,100
33,620,618,524,3212,0,0,100
34,622,614,522,3214,0,0,100
35,616,616,523,3211,0,0,100
36,620,621,529,3211,0,0,100
37,620,615,525,3212,0,0,100
38,620,620,523,3212,0,0,100
39,620,616,525,3212,0,0,100
40,618,620,523,3211,0,0,100
41,618,618,522,3211,0,0,100
42,617,620,520,3212,0,0,100
43,620,615,523,3212,0,0,100
44,614,624,525,3212,0,0,100
45,618,619,525,3211,0,0,100
46,617,616,521,3211,0,0,100
47,614,618,527,3212,0,0,100
48,621,621,522,3212,0,0,100
49,619,622,523,3215,0,0,100
50,620,612,522,3212,0,0,100
51,620,619,524,3212,0,0,100
52,621,621,525,3212,0,0,100
53,624,621,523,3212,0,0,100
54,612,614,525,3216,0,0,100
55,624,612,526,3212,0,0,100
56,620,619,526,3212,0,0,100
57,622,619,520,3212,0,0,100
58,624,623,522,3212,0,0,100
59,623,623,521,3212,0,0,100
60,622,615,523,3212,0,0,100
61,621,619,522,3212,0,0,100
62,620,617,516,3212,0,0,100
63,621,621,522,3211,0,0,100
64,620,618,522,3212,0,0,100
65,620,622,523,3212,0,0,100
66,630,623,523,3212,0,0,100
67,621,617,518,3212,0,0,100
68,613,620,521,3211,0,0,100
69,615,616,522,3212,0,0,100
70,621,617,522,3212,0,0,100
71,619,620,521,3212,0,0,100
72,622,617,523,3211,0,0,100
73,619,618,522,3211,0,0,100
74,620,619,525,3212,0,0,100
75,620,612,521,3212,0,0,100
76,626,617,522,3213,0,0,100
77,622,616,521,3212,0,0,100
