time,cyln_pre,tank_pre,force,pos,val1,val2,duty
0,651,1928,522,3213,0,0,50
1,652,1931,523,3213,0,0,50
2,663,1933,524,3212,0,0,50
3,653,1925,521,3213,0,0,50
4,652,1930,524,3212,0,0,50
5,656,1923,525,3211,0,0,50
6,648,1927,526,3213,0,0,50
7,655,1925,525,3213,0,0,50
8,652,1931,523,3211,0,0,50
9,655,1928,521,3214,0,0,50
10,652,1928,522,3212,0,0,50
11,652,1930,521,3212,0,0,50
12,652,1929,522,3213,0,0,50
13,658,1932,522,3207,0,0,50
14,656,1928,524,3213,0,0,50
15,650,1916,522,3216,0,0,50
16,652,1922,522,3212,0,0,50
17,655,1927,527,3212,0,0,50
18,648,1931,523,3211,0,0,50
19,652,1926,521,3212,0,0,50
20,656,1928,522,3216,0,0,50
21,659,1931,519,3210,0,0,50
22,651,1930,525,3213,0,0,50
23,656,1931,523,3213,0,0,50
24,653,1927,522,3212,0,0,50
25,649,1932,523,3211,0,0,50
26,656,1928,523,3213,0,0,50
27,656,1932,521,3212,0,0,50
28,653,1930,523,3213,0,0,50
29,653,1928,522,3213,0,0,50
30,654,1928,521,3211,0,0,50
31,648,1924,522,3214,0,0,50
32,651,1928,511,3212,0,0,50
33,644,1929,522,3214,0,0,50
34,650,1926,520,3207,0,0,50
35,652,1933,521,3213,0,0,50
36,646,1926,527,3212,0,0,50
37,652,1926,524,3212,0,0,50
38,654,1930,522,3212,0,0,50
39,652,1929,522,3212,0,0,50
40,659,1934,523,3212,0,0,50
41,650,1931,524,3213,0,0,50
42,654,1928,524,3211,0,0,50
43,659,1926,522,3214,0,0,50
44,654,1929,523,3213,0,0,50
45,654,1931,520,3211,0,0,50
46,652,1927,520,3212,0,0,50
47,652,1930,522,3211,0,0,50
48,653,1937,520,3212,0,0,50
49,653,1932,521,3212,0,0,50
50,653,1925,521,3213,0,0,50
51,651,1927,519,3211,0,0,50
52,645,1928,521,3213,0,0,50
53,651,1928,522,3212,0,0,50
54,655,1929,523,3211,0,0,50
55,647,1932,522,3212,0,0,50
56,647,1926,520,3211,0,0,50
57,651,1926,525,3212,0,0,50
58,650,1927,524,3212,0,0,50
59,647,1926,521,3214,0,0,50
60,651,1927,524,3212,0,0,50
61,652,1931,517,3214,0,0,50
62,652,1932,522,3211,0,0,50
63,642,1929,520,3212,0,0,50
64,651,1924,522,3212,0,0,50
65,652,1928,522,3211,0,0,50
66,654,1928,522,3213,0,0,50
67,653,1932,522,3216,0,0,50
68,644,1932,520,3212,0,0,50
69,651,1928,524,3213,0,0,50
70,657,1932,522,3212,0,0,50
71,650,1924,522,3212,0,0,50
72,649,1931,522,3213,0,0,50
73,653,1929,525,3207,0,0,50
74,646,1931,520,3209,0,0,50
75,652,1926,520,3212,0,0,50
76,650,1927,521,3212,0,0,50
77,650,1925,523,3212,0,0,50
78,649,1925,520,3213,0,0,50
79,648,1929,524,3212,0,0,50
80,664,1931,519,3212,0,0,50
81,648,1925,523,3213,0,0,50
82,664,1929,521,3212,0,0,50
83,649,1929,523,3213,0,0,50
84,656,1927,524,3213,0,0,50
85,655,1930,523,3212,0,0,50
86,650,1927,523,3212,0,0,50
87,654,1929,520,3211,0,0,50
88,649,1934,523,3214,0,0,50
89,649,1928,521,3211,0,0,50
90,649,1931,521,3212,0,0,50
91,651,1930,522,3213,0,0,50
92,654,1929,521,3211,0,0,50
93,651,1929,522,3212,0,0,50
94,650,1932,523,3213,0,0,50
95,643,1927,525,3212,0,0,50
96,649,1926,519,3212,0,0,50
97,650,1927,524,3208,0,0,50
98,653,1932,524,3212,0,0,50
99,653,1930,516,3212,0,0,50
100,654,1935,524,3216,0,0,50
101,654,1929,522,3212,0,0,50
102,649,1936,522,3211,0,0,50
103,650,1931,520,3212,0,0,50
104,649,1930,522,3214,0,0,50
105,662,1926,524,3212,0,0,50
106,649,1932,523,3213,0,0,50
107,643,1928,524,3214,0,0,50
108,653,1932,524,3211,0,0,50
109,652,1930,523,3213,0,0,50
110,647,1925,521,3212,0,0,50
111,651,1931,522,3212,0,0,50
112,648,1928,522,3213,0,0,50
113,648,1931,522,3213,0,0,50
114,649,1927,519,3212,0,0,50
115,651,1928,522,3213,0,0,50
116,651,1932,519,3213,0,0,50
117,632,1932,524,3212,0,0,50
118,658,1931,520,3216,0,0,50
119,649,1932,523,3211,0,0,50
120,653,1930,526,3212,0,0,50
121,646,1930,523,3212,0,0,50
122,653,1929,524,3212,0,0,50
123,642,1930,522,3213,0,0,50
124,655,1928,522,3212,0,0,50
125,649,1932,521,3211,0,0,50
126,650,1927,521,3213,0,0,50
127,650,1920,523,3215,0,0,50
128,653,1940,520,3212,0,0,50
129,653,1931,527,3213,0,0,50
130,657,1928,522,3213,0,0,50
131,650,1926,520,3212,0,0,50
132,650,1926,522,3214,0,0,50
133,649,1931,523,3214,0,0,50
134,655,1929,522,3213,0,0,50
135,649,1928,522,3212,0,0,50
136,654,1931,525,3211,0,0,50
137,648,1928,522,3214,0,0,50
138,658,1930,521,3213,0,0,50
139,650,1929,524,3213,0,0,50
140,646,1932,520,3213,0,0,50
141,633,1929,524,3213,0,0,50
142,654,1928,518,3213,0,0,50
143,649,1934,525,3213,0,0,50
144,650,1930,521,3212,0,0,50
145,648,1925,522,3211,0,0,50
146,653,1926,522,3212,0,0,50
147,653,1939,523,3212,0,0,50
148,653,1930,523,3213,0,0,50
149,646,1930,521,3213,0,0,50
150,646,1934,523,3212,0,0,50
151,648,1931,521,3212,0,0,50
152,648,1932,520,3212,0,0,50
153,650,1928,525,3213,0,0,50
154,648,1919,523,3216,0,0,50
155,655,1927,523,3212,0,0,50
156,658,1927,526,3216,0,0,50
157,651,1929,521,3212,0,0,50
158,653,1928,524,3211,0,0,50
159,651,1931,524,3211,0,0,50
160,652,1930,521,3212,0,0,50
161,642,1930,521,3208,0,0,50
162,648,1926,521,3211,0,0,50
163,650,1928,522,3212,0,0,50
164,654,1928,522,3213,0,0,50
165,654,1930,523,3213,0,0,50
166,649,1935,522,3213,0,0,50
167,651,1932,521,3213,0,0,50
168,651,1929,525,3212,0,0,50
169,648,1926,522,3213,0,0,50
170,653,1929,520,3212,0,0,50
171,653,1927,525,3212,0,0,50
172,651,1934,523,3212,0,0,50
173,640,1929,523,3211,0,0,50
174,651,1930,522,3213,0,0,50
175,656,1932,527,3212,0,0,50
176,645,1930,522,3212,0,0,50
177,647,1930,522,3214,0,0,50
178,652,1921,527,3212,0,0,50
179,647,1928,525,3212,0,0,50
180,651,1926,524,3212,0,0,50
181,651,1928,523,3212,0,0,50
182,651,1932,523,3214,0,0,50
183,648,1933,518,3208,0,0,50
184,651,1927,524,3212,0,0,50
185,652,1926,526,3212,0,0,50
186,650,1930,524,3212,0,0,50
187,654,1926,519,3213,0,0,50
188,656,1930,522,3213,0,0,50
189,647,1930,522,3212,0,0,50
190,650,1929,521,3213,0,0,50
191,650,1932,521,3211,0,0,50
192,650,1929,522,3214,0,0,50
193,654,1930,520,3210,0,0,50
194,656,1927,519,3213,0,0,50
195,656,1930,523,3209,0,0,50
196,651,1927,522,3213,0,0,50
197,654,1925,522,3213,0,0,50
198,655,1930,525,3213,0,0,50
199,655,1929,520,3212,0,0,50
200,652,1921,523,3212,0,0,50
201,652,1932,519,3214,0,0,50
202,661,1932,522,3211,0,0,50
203,648,1931,520,3212,0,0,50
204,655,1925,523,3212,0,0,50
205,655,1931,524,3213,0,0,50
206,652,1935,523,3212,0,0,50
207,654,1931,520,3212,0,0,50
208,652,1930,522,3214,0,0,50
209,651,1924,522,3212,0,0,50
210,653,1931,522,3213,0,0,50
211,653,1929,524,3212,0,0,50
212,652,1928,524,3212,0,0,50
213,651,1926,523,3212,0,0,50
214,649,1928,522,3210,0,0,50
215,648,1930,525,3212,0,0,50
216,653,1926,522,3214,0,0,50
217,644,1929,522,3211,0,0,50
218,658,1929,523,3212,0,0,50
219,649,1926,526,3212,0,0,50
220,653,1928,520,3212,0,0,50
221,651,1929,521,3213,0,0,50
222,650,1929,524,3212,0,0,50
223,651,1932,521,3214,0,0,50
224,653,1926,524,3212,0,0,50
225,653,1926,524,3211,0,0,50
226,650,1930,523,3215,0,0,50
227,653,1929,522,3212,0,0,50
228,652,1928,525,3213,0,0,50
229,654,1928,522,3213,0,0,50
230,643,1929,522,3213,0,0,50
231,651,1936,518,3212,0,0,50
232,650,1927,520,3212,0,0,50
233,653,1936,521,3212,0,0,50
234,650,1928,529,3212,0,0,50
235,652,1932,529,3211,0,0,50
236,648,1928,522,3212,0,0,50
237,652,1928,524,3213,0,0,50
