time,cyln_pre,tank_pre,force,pos,val1,val2,duty
0,629,1155,527,3212,0,0,30
1,622,1158,521,3211,0,0,30
2,623,1157,523,3212,0,0,30
3,637,1155,522,3212,0,0,30
4,632,1151,520,3212,0,0,30
5,645,1150,522,3212,0,0,30
6,639,1154,523,3212,0,0,30
7,631,1157,519,3212,0,0,30
8,639,1155,527,3212,0,0,30
9,620,1156,524,3212,0,0,30
10,638,1155,521,3212,0,0,30
11,625,1161,521,3212,0,0,30
12,629,1158,524,3212,0,0,30
13,626,1154,521,3211,0,0,30
14,630,1158,524,3212,0,0,30
15,628,1153,523,3211,0,0,30
16,629,1160,522,3212,0,0,30
17,632,1156,523,3213,0,0,30
18,628,1157,522,3211,0,0,30
19,630,1155,522,3211,0,0,30
20,627,1156,530,3212,0,0,30
21,625,1154,520,3213,0,0,30
22,618,1156,526,3211,0,0,30
23,628,1157,521,3212,0,0,30
24,632,1156,515,3212,0,0,30
25,628,1155,522,3212,0,0,30
26,631,1158,522,3214,0,0,30
27,630,1153,520,3212,0,0,30
28,632,1156,522,3211,0,0,30
29,626,1155,523,3211,0,0,30
30,626,1155,521,3212,0,0,30
31,627,1158,528,3212,0,0,30
32,629,1155,523,3211,0,0,30
33,633,1155,519,3213,0,0,30
34,630,1162,525,3211,0,0,30
35,623,1152,522,3214,0,0,30
36,629,1155,523,3212,0,0,30
37,625,1152,522,3211,0,0,30
38,630,1157,524,3212,0,0,30
39,630,1156,523,3214,0,0,30
40,626,1148,521,3210,0,0,30
41,628,1156,525,3212,0,0,30
42,629,1158,523,3212,0,0,30
43,624,1153,523,3212,0,0,30
44,627,1155,521,3212,0,0,30
45,630,1155,523,3213,0,0,30
46,635,1157,523,3210,0,0,30
47,626,1157,522,3211,0,0,30
48,622,1158,518,3217,0,0,30
49,624,1161,518,3211,0,0,30
50,627,1162,523,3212,0,0,30
51,619,1159,522,3212,0,0,30
52,625,1159,522,3212,0,0,30
53,623,1162,518,3211,0,0,30
54,633,1156,524,3212,0,0,30
55,627,1158,524,3212,0,0,30
56,628,1156,518,3211,0,0,30
57,634,1156,525,3213,0,0,30
58,627,1155,520,3211,0,0,30
59,623,1155,524,3212,0,0,30
60,628,1153,524,3212,0,0,30
61,629,1154,521,3211,0,0,30
62,627,1153,522,3212,0,0,30
63,633,1155,523,3212,0,0,30
64,628,1157,523,3212,0,0,30
65,631,1158,519,3213,0,0,30
66,627,1159,520,3212,0,0,30
67,631,1154,525,3213,0,0,30
68,630,1158,522,3211,0,0,30
69,623,1158,523,3210,0,0,30
70,628,1155,518,3211,0,0,30
71,620,1156,521,3212,0,0,30
72,619,1161,518,3211,0,0,30
73,627,1154,523,3211,0,0,30
74,627,1155,520,3212,0,0,30
75,635,1155,521,3212,0,0,30
76,630,1151,522,3212,0,0,30
77,632,1156,523,3212,0,0,30
78,628,1156,527,3212,0,0,30
79,626,1151,520,3211,0,0,30
80,629,1155,523,3213,0,0,30
81,626,1155,524,3213,0,0,30
82,625,1153,521,3213,0,0,30
83,632,1155,520,3216,0,0,30
84,622,1156,521,3206,0,0,30
85,625,1154,520,3212,0,0,30
86,628,1157,521,3212,0,0,30
87,626,1157,524,3212,0,0,30
88,639,1154,521,3213,0,0,30
89,627,1164,522,3212,0,0,30
90,626,1156,524,3211,0,0,30
91,624,1158,524,3212,0,0,30
92,626,1158,523,3213,0,0,30
93,630,1159,522,3213,0,0,30
94,634,1159,525,3212,0,0,30
95,626,1156,523,3211,0,0,30
96,625,1157,520,3214,0,0,30
97,626,1153,523,3212,0,0,30
98,626,1157,522,3213,0,0,30
99,629,1153,523,3212,0,0,30
100,627,1149,523,3211,0,0,30
101,630,1154,522,3213,0,0,30
102,631,1155,522,3214,0,0,30
103,622,1160,521,3212,0,0,30
104,630,1158,521,3212,0,0,30
105,625,1154,525,3212,0,0,30
106,630,1157,522,3211,0,0,30
107,632,1158,521,3211,0,0,30
108,636,1152,522,3211,0,0,30
109,628,1155,521,3211,0,0,30
110,632,1151,524,3212,0,0,30
111,629,1157,522,3213,0,0,30
112,632,1157,525,3211,0,0,30
113,629,1154,525,3212,0,0,30
114,630,1155,523,3213,0,0,30
115,632,1155,524,3212,0,0,30
116,630,1158,525,3212,0,0,30
117,628,1155,524,3212,0,0,30
118,626,1155,522,3213,0,0,30
119,630,1157,521,3211,0,0,30
120,640,1158,522,3214,0,0,30
121,630,1157,524,3211,0,0,30
122,627,1157,522,3212,0,0,30
123,631,1153,525,3212,0,0,30
124,629,1159,524,3213,0,0,30
125,626,1154,523,3210,0,0,30
126,628,1158,523,3206,0,0,30
127,625,1156,524,3211,0,0,30
128,634,1154,525,3213,0,0,30
129,634,1159,522,3210,0,0,30
130,630,1157,521,3214,0,0,30
131,628,1160,522,3214,0,0,30
132,628,1156,524,3211,0,0,30
133,625,1162,521,3213,0,0,30
134,634,1155,523,3212,0,0,30
135,631,1158,522,3213,0,0,30
136,639,1156,523,3212,0,0,30
137,631,1156,520,3212,0,0,30
138,632,1158,521,3217,0,0,30
139,627,1155,520,3209,0,0,30
140,631,1155,523,3211,0,0,30
141,638,1157,520,3211,0,0,30
142,622,1158,523,3211,0,0,30
143,626,1154,523,3212,0,0,30
144,635,1154,523,3212,0,0,30
145,628,1157,524,3216,0,0,30
146,626,1155,522,3214,0,0,30
147,626,1157,523,3210,0,0,30
148,630,1153,524,3213,0,0,30
149,625,1152,522,3212,0,0,30
150,624,1156,523,3209,0,0,30
151,631,1159,524,3211,0,0,30
152,623,1157,521,3210,0,0,30
153,635,1155,520,3211,0,0,30
154,627,1158,521,3212,0,0,30
155,619,1149,521,3209,0,0,30
156,635,1158,527,3212,0,0,30
157,631,1157,520,3212,0,0,30
158,629,1158,522,3211,0,0,30
159,629,1158,524,3211,0,0,30
160,635,1158,523,3212,0,0,30
161,632,1156,523,3212,0,0,30
162,623,1161,521,3213,0,0,30
163,628,1159,519,3212,0,0,30
164,633,1156,523,3211,0,0,30
165,627,1151,521,3211,0,0,30
166,633,1156,522,3212,0,0,30
167,622,1153,524,3211,0,0,30
168,636,1156,520,3216,0,0,30
169,636,1151,525,3212,0,0,30
170,630,1154,520,3212,0,0,30
171,618,1160,522,3211,0,0,30
172,630,1153,521,3215,0,0,30
173,629,1156,519,3211,0,0,30
174,627,1158,526,3212,0,0,30
175,627,1156,524,3212,0,0,30
176,630,1152,523,3213,0,0,30
177,626,1151,528,3212,0,0,30
178,627,1153,521,3214,0,0,30
179,628,1160,521,3212,0,0,30
180,624,1156,521,3212,0,0,30
181,634,1156,523,3211,0,0,30
182,633,1158,520,3212,0,0,30
183,624,1156,521,3210,0,0,30
184,629,1152,522,3209,0,0,30
185,629,1155,521,3212,0,0,30
186,627,1154,524,3212,0,0,30
187,626,1157,522,3212,0,0,30
188,625,1154,520,3212,0,0,30
189,628,1157,523,3212,0,0,30
190,633,1151,522,3212,0,0,30
191,625,1155,523,3212,0,0,30
192,631,1156,519,3212,0,0,30
193,644,1153,522,3212,0,0,30
194,633,1157,524,3211,0,0,30
195,633,1151,524,3212,0,0,30
196,630,1156,523,3212,0,0,30
197,631,1153,526,3211,0,0,30
198,632,1153,526,3211,0,0,30
199,633,1150,524,3213,0,0,30
200,628,1156,513,3211,0,0,30
201,629,1156,525,3211,0,0,30
202,626,1154,524,3212,0,0,30
203,632,1156,527,3211,0,0,30
204,627,1151,525,3211,0,0,30
205,629,1156,522,3213,0,0,30
206,633,1158,519,3212,0,0,30
207,631,1150,521,3214,0,0,30
208,629,1159,523,3212,0,0,30
209,628,1148,521,3210,0,0,30
210,637,1156,524,3211,0,0,30
211,633,1157,524,3211,0,0,30
212,634,1156,521,3213,0,0,30
213,632,1158,522,3212,0,0,30
214,610,1157,521,3210,0,0,30
215,631,1156,527,3212,0,0,30
216,625,1158,523,3212,0,0,30
217,635,1152,521,3212,0,0,30
218,633,1149,522,3212,0,0,30
219,632,1154,518,3213,0,0,30
220,630,1154,520,3212,0,0,30
221,631,1155,525,3211,0,0,30
222,626,1158,522,3211,0,0,30
223,631,1157,523,3212,0,0,30
224,625,1155,522,3213,0,0,30
225,627,1148,518,3213,0,0,30
226,632,1156,526,3212,0,0,30
227,625,1159,520,3216,0,0,30
228,625,1156,522,3212,0,0,30
229,631,1154,521,3213,0,0,30
230,630,1159,525,3212,0,0,30
231,630,1156,523,3212,0,0,30
232,628,1153,523,3213,0,0,30
233,623,1159,520,3211,0,0,30
234,620,1156,519,3212,0,0,30
235,639,1157,523,3210,0,0,30
236,630,1156,523,3209,0,0,30
237,629,1159,524,3208,0,0,30
238,626,1158,524,3212,0,0,30
239,634,1160,520,3212,0,0,30
240,636,1157,526,3212,0,0,30
241,623,1158,521,3213,0,0,30
242,637,1154,523,3212,0,0,30
243,628,1155,524,3212,0,0,30
244,628,1156,522,3211,0,0,30
245,636,1160,531,3211,0,0,30
246,625,1158,523,3213,0,0,30
247,628,1156,524,3212,0,0,30
248,632,1156,522,3213,0,0,30
249,627,1156,523,3212,0,0,30
250,637,1153,533,3210,0,0,30
251,620,1157,530,3212,0,0,30
252,625,1157,522,3209,0,0,30
253,628,1155,520,3211,0,0,30
254,630,1155,525,3211,0,0,30
255,637,1154,520,3211,0,0,30
256,630,1159,526,3211,0,0,30
257,629,1152,524,3211,0,0,30
258,628,1157,523,3212,0,0,30
259,627,1157,525,3212,0,0,30
260,629,1161,522,3213,0,0,30
261,630,1157,522,3212,0,0,30
262,624,1153,524,3212,0,0,30
263,632,1157,521,3212,0,0,30
264,629,1157,524,3213,0,0,30
265,629,1151,523,3212,0,0,30
266,628,1154,524,3212,0,0,30
267,630,1154,523,3212,0,0,30
268,631,1155,520,3212,0,0,30
269,629,1155,523,3207,0,0,30
270,625,1151,522,3212,0,0,30
271,624,1158,521,3212,0,0,30
272,630,1152,522,3212,0,0,30
273,630,1157,523,3211,0,0,30
274,627,1155,521,3212,0,0,30
275,629,1154,523,3210,0,0,30
276,632,1154,517,3212,0,0,30
277,633,1157,525,3213,0,0,30
278,633,1158,524,3212,0,0,30
279,629,1157,520,3213,0,0,30
280,626,1154,520,3213,0,0,30
281,635,1157,525,3215,0,0,30
282,630,1152,522,3212,0,0,30
283,630,1156,519,3212,0,0,30
284,630,1156,523,3214,0,0,30
285,625,1154,524,3211,0,0,30
286,632,1156,521,3212,0,0,30
287,627,1157,524,3212,0,0,30
288,629,1152,526,3213,0,0,30
289,629,1157,523,3212,0,0,30
290,627,1154,524,3212,0,0,30
