time,cyln_pre,tank_pre,force,pos,val1,val2,duty
0,625,624,523,3212,0,0,100
1,620,619,517,3213,0,0,100
2,627,616,521,3212,0,0,100
3,618,614,524,3212,0,0,100
4,619,617,525,3212,0,0,100
5,616,617,521,3213,0,0,100
6,623,617,523,3212,0,0,100
7,619,618,524,3208,0,0,100
8,612,616,522,3212,0,0,100
9,604,619,522,3212,0,0,100
10,623,621,525,3212,0,0,100
11,619,622,525,3212,0,0,100
12,618,620,524,3211,0,0,100
13,623,616,524,3210,0,0,100
14,615,623,524,3212,0,0,100
15,630,623,522,3212,0,0,100
16,618,619,521,3210,0,0,100
17,623,620,522,3212,0,0,100
18,630,621,523,3212,0,0,100
19,616,615,522,3212,0,0,100
20,620,613,521,3213,0,0,100
21,619,622,524,3212,0,0,100
22,617,616,519,3212,0,0,100
23,622,617,524,3213,0,0,100
24,620,613,523,3211,0,0,100
25,623,614,520,3212,0,0,100
26,621,611,521,3211,0,0,100
27,620,617,521,3211,0,0,100
28,621,618,519,3214,0,0,100
29,617,618,523,3213,0,0,100
30,617,618,523,3212,0,0,100
31,618,618,523,3211,0,0,100
32,618,618,521,3212,0,0,100
33,618,621,527,3211,0,0,100
34,620,613,521,3212,0,0,100
35,615,617,520,3211,0,0,100
36,620,619,524,3215,0,0,100
37,617,621,520,3211,0,0,100
38,618,616,521,3205,0,0,100
39,619,613,519,3212,0,0,100
40,618,618,520,3215,0,0,100
41,618,611,521,3212,0,0,100
42,619,624,523,3213,0,0,100
43,623,617,520,3212,0,0,100
44,622,616,523,3212,0,0,100
45,622,615,521,3212,0,0,100
46,615,613,520,3211,0,0,100
47,620,623,521,3211,0,0,100
48,623,613,523,3211,0,0,100
49,611,616,523,3212,0,0,100
50,624,618,517,3210,0,0,100
51,619,612,525,3211,0,0,100
52,623,614,524,3212,0,0,100
53,619,615,520,3212,0,0,100
54,621,619,525,3211,0,0,100
55,621,610,523,3211,0,0,100
56,620,620,521,3212,0,0,100
57,620,619,522,3214,0,0,100
58,621,621,519,3212,0,0,100
59,621,617,522,3212,0,0,100
60,614,626,524,3213,0,0,100
61,621,624,520,3212,0,0,100
62,621,622,522,3211,0,0,100
63,611,621,522,3212,0,0,100
64,615,627,524,3211,0,0,100
65,617,620,525,3211,0,0,100
66,614,616,522,3210,0,0,100
67,618,623,520,3213,0,0,100
68,620,619,520,3212,0,0,100
69,620,619,524,3211,0,0,100
70,618,619,525,3212,0,0,100
71,620,618,518,3211,0,0,100
72,619,616,522,3211,0,0,100
73,624,611,523,3211,0,0,100
74,619,629,522,3213,0,0,100
75,618,616,523,3211,0,0,100
76,620,619,528,3211,0,0,100
77,623,617,520,3211,0,0,100
78,624,619,521,3213,0,0,100
79,622,615,525,3213,0,0,100
80,619,623,522,3212,0,0,100
81,619,613,523,3211,0,0,100
82,619,626,521,3211,0,0,100
83,623,619,522,3212,0,0,100
84,622,614,522,3211,0,0,100
85,616,616,522,3212,0,0,100
86,620,605,523,3212,0,0,100
87,612,614,521,3212,0,0,100
88,620,616,522,3212,0,0,100
89,619,612,520,3211,0,0,100
90,611,614,522,3212,0,0,100
91,620,611,522,3212,0,0,100
92,613,619,520,3211,0,0,100
93,620,617,525,3211,0,0,100
94,625,620,523,3207,0,0,100
95,623,618,520,3212,0,0,100
96,619,613,524,3212,0,0,100
97,622,618,522,3210,0,0,100
98,624,613,526,3213,0,0,100
99,617,617,521,3213,0,0,100
100,626,618,529,3212,0,0,100
101,623,619,526,3211,0,0,100
102,620,616,522,3213,0,0,100
103,627,617,522,3213,0,0,100
104,621,618,524,3216,0,0,100
105,626,619,522,3210,0,0,100
106,626,622,525,3211,0,0,100
107,624,623,521,3212,0,0,100
108,622,611,527,3212,0,0,100
109,619,634,523,3212,0,0,100
110,620,617,523,3213,0,0,100
111,620,613,522,3213,0,0,100
112,614,616,523,3212,0,0,100
113,620,629,523,3211,0,0,100
114,619,620,522,3213,0,0,100
115,617,606,522,3214,0,0,100
116,622,613,521,3209,0,0,100
117,619,622,521,3212,0,0,100
118,617,600,524,3212,0,0,100
119,622,619,521,3212,0,0,100
120,623,616,520,3206,0,0,100
121,621,619,520,3211,0,0,100
122,617,611,522,3211,0,0,100
123,621,616,520,3213,0,0,100
124,609,621,521,3213,0,0,100
125,621,611,523,3212,0,0,100
126,624,619,523,3212,0,0,100
127,618,617,521,3212,0,0,100
128,621,616,523,3214,0,0,100
129,619,617,516,3214,0,0,100
130,615,621,520,3212,0,0,100
131,623,617,521,3209,0,0,100
132,620,614,522,3213,0,0,100
133,631,615,523,3212,0,0,100
134,623,621,525,3215,0,0,100
135,623,613,521,3213,0,0,100
136,617,615,524,3213,0,0,100
137,624,618,522,3211,0,0,100
138,624,615,522,3211,0,0,100
139,618,616,523,3212,0,0,100
140,622,620,523,3212,0,0,100
141,625,613,521,3215,0,0,100
142,618,629,521,3212,0,0,100
143,622,618,520,3212,0,0,100
144,623,616,521,3212,0,0,100
145,620,611,522,3212,0,0,100
146,621,618,523,3212,0,0,100
147,620,618,521,3211,0,0,100
148,618,611,525,3212,0,0,100
149,618,619,522,3212,0,0,100
150,619,614,522,3211,0,0,100
151,618,617,525,3212,0,0,100
152,616,613,526,3212,0,0,100
153,612,619,523,3215,0,0,100
154,620,623,520,3212,0,0,100
155,626,617,523,3209,0,0,100
156,622,619,521,3212,0,0,100
157,611,621,516,3213,0,0,100
158,617,619,523,3212,0,0,100
159,623,618,527,3213,0,0,100
160,619,619,521,3212,0,0,100
161,620,614,520,3210,0,0,100
162,619,624,520,3212,0,0,100
163,620,618,522,3211,0,0,100
164,617,624,523,3211,0,0,100
165,619,623,522,3212,0,0,100
166,624,619,523,3211,0,0,100
167,622,617,523,3212,0,0,100
168,621,608,523,3212,0,0,100
169,617,618,521,3210,0,0,100
170,618,617,523,3212,0,0,100
171,618,614,518,3211,0,0,100
172,623,608,521,3212,0,0,100
173,621,609,523,3211,0,0,100
174,618,603,526,3212,0,0,100
175,620,609,521,3211,0,0,100
176,622,617,524,3212,0,0,100
177,616,616,523,3213,0,0,100
178,621,619,522,3212,0,0,100
179,617,608,522,3211,0,0,100
180,622,606,522,3213,0,0,100
181,618,623,521,3211,0,0,100
182,616,619,521,3211,0,0,100
183,620,619,519,3211,0,0,100
184,617,616,522,3208,0,0,100
185,620,615,522,3212,0,0,100
186,620,624,520,3212,0,0,100
187,617,617,522,3211,0,0,100
188,626,615,523,3212,0,0,100
189,620,616,522,3211,0,0,100
190,620,616,523,3212,0,0,100
191,621,623,520,3211,0,0,100
192,619,614,524,3209,0,0,100
193,620,619,520,3212,0,0,100
194,618,613,522,3211,0,0,100
195,615,619,522,3211,0,0,100
196,621,616,521,3212,0,0,100
197,618,619,521,3212,0,0,100
198,619,617,521,3212,0,0,100
199,625,617,524,3211,0,0,100
200,622,620,523,3212,0,0,100
201,627,614,523,3211,0,0,100
202,621,624,525,3212,0,0,100
203,624,621,521,3212,0,0,100
204,619,622,522,3210,0,0,100
205,617,619,524,3213,0,0,100
206,619,616,528,3211,0,0,100
207,622,617,522,3211,0,0,100
208,617,619,521,3213,0,0,100
209,619,616,522,3212,0,0,100
210,620,616,521,3212,0,0,100
211,622,615,521,3211,0,0,100
212,622,628,522,3212,0,0,100
213,620,616,523,3212,0,0,100
214,620,617,522,3213,0,0,100
215,616,616,520,3212,0,0,100
216,615,619,524,3214,0,0,100
217,617,631,522,3212,0,0,100
218,622,612,525,3212,0,0,100
219,616,618,523,3212,0,0,100
220,625,615,522,3212,0,0,100
221,622,616,516,3212,0,0,100
222,622,614,522,3208,0,0,100
223,619,615,523,3212,0,0,100
