time,cyln_pre,tank_pre,force,pos,val1,val2,duty
0,1509,642,529,4095,0,0,60
1,1508,646,532,4095,0,0,60
2,1507,652,531,4095,0,0,60
3,1511,646,530,4095,0,0,60
4,1513,648,535,4095,0,0,60
5,1505,648,529,4095,0,0,60
6,1510,642,527,4095,0,0,60
7,1510,645,533,4095,0,0,60
8,1503,645,525,4095,0,0,60
9,1513,643,527,4095,0,0,60
10,1510,646,528,4095,0,0,60
11,1510,643,530,4095,0,0,60
12,1511,649,533,4095,0,0,60
13,1509,658,525,4095,0,0,60
14,1509,648,526,4095,0,0,60
15,1511,648,528,4095,0,0,60
16,1506,649,526,4095,0,0,60
17,1511,646,527,4095,0,0,60
18,1506,648,526,4095,0,0,60
19,1511,647,528,4095,0,0,60
20,1511,644,527,4095,0,0,60
21,1511,650,531,4095,0,0,60
22,1506,644,527,4095,0,0,60
23,1516,655,528,4095,0,0,60
24,1507,648,531,4095,0,0,60
25,1508,649,528,4095,0,0,60
26,1509,643,529,4095,0,0,60
27,1509,644,529,4095,0,0,60
28,1513,648,530,4095,0,0,60
29,1510,652,528,4095,0,0,60
30,1512,646,528,4095,0,0,60
31,1513,646,528,4095,0,0,60
32,1510,645,528,4095,0,0,60
33,1507,644,528,4095,0,0,60
34,1508,646,532,4095,0,0,60
35,1511,640,529,4095,0,0,60
36,1512,645,528,4095,0,0,60
37,1512,645,529,4095,0,0,60
38,1507,646,522,4095,0,0,60
39,1511,647,528,4095,0,0,60
40,1508,641,537,4095,0,0,60
41,1509,645,525,4095,0,0,60
42,1508,641,529,4095,0,0,60
43,1507,648,527,4095,0,0,60
44,1513,649,527,4095,0,0,60
45,1513,646,527,4095,0,0,60
46,1511,644,526,4095,0,0,60
47,1506,645,525,4095,0,0,60
48,1510,647,526,4095,0,0,60
49,1505,648,529,4095,0,0,60
50,1509,641,531,4095,0,0,60
51,1509,650,528,4095,0,0,60
52,1511,646,528,4095,0,0,60
53,1510,650,528,4095,0,0,60
54,1524,646,529,4095,0,0,60
55,1508,647,528,4095,0,0,60
56,1507,659,527,4095,0,0,60
57,1507,645,531,4095,0,0,60
58,1509,651,526,4095,0,0,60
59,1507,646,530,4095,0,0,60
60,1504,647,530,4095,0,0,60
61,1512,643,531,4095,0,0,60
62,1512,650,528,4095,0,0,60
63,1507,646,526,4095,0,0,60
64,1510,647,529,4095,0,0,60
65,1499,643,528,4095,0,0,60
66,1512,647,527,4095,0,0,60
67,1514,645,529,4095,0,0,60
68,1508,649,528,4095,0,0,60
69,1520,644,527,4095,0,0,60
70,1507,646,529,4095,0,0,60
71,1508,647,527,4095,0,0,60
72,1518,649,526,4095,0,0,60
73,1509,650,527,4095,0,0,60
74,1506,646,530,4095,0,0,60
75,1503,645,526,4095,0,0,60
76,1510,642,530,4095,0,0,60
77,1508,644,530,4095,0,0,60
78,1509,646,513,4095,0,0,60
79,1511,636,525,4095,0,0,60
80,1508,645,526,4095,0,0,60
81,1519,645,526,4095,0,0,60
82,1509,644,525,4095,0,0,60
83,1509,651,533,4095,0,0,60
84,1515,646,523,4095,0,0,60
85,1514,646,530,4095,0,0,60
86,1510,646,528,4095,0,0,60
87,1517,647,527,4095,0,0,60
88,1510,650,528,4095,0,0,60
89,1504,646,527,4095,0,0,60
90,1509,647,529,4095,0,0,60
91,1508,642,528,4095,0,0,60
92,1506,647,526,4095,0,0,60
93,1513,646,530,4095,0,0,60
94,1512,647,530,4095,0,0,60
95,1513,649,530,4095,0,0,60
96,1511,644,527,4095,0,0,60
97,1507,651,528,4095,0,0,60
98,1507,643,529,4095,0,0,60
99,1510,646,525,4095,0,0,60
100,1509,648,526,4095,0,0,60
101,1511,647,527,4095,0,0,60
102,1508,649,528,4095,0,0,60
103,1509,659,529,4095,0,0,60
104,1503,642,527,4095,0,0,60
105,1509,647,531,4095,0,0,60
106,1506,640,530,4095,0,0,60
107,1507,651,529,4095,0,0,60
108,1509,645,530,4095,0,0,60
109,1515,645,529,4095,0,0,60
110,1512,644,528,4095,0,0,60
111,1507,650,529,4095,0,0,60
112,1510,644,526,4095,0,0,60
113,1509,646,521,4095,0,0,60
114,1509,650,530,4095,0,0,60
115,1523,654,529,4095,0,0,60
116,1507,645,530,4095,0,0,60
117,1506,648,528,4095,0,0,60
118,1514,645,529,4095,0,0,60
119,1492,648,529,4095,0,0,60
120,1513,654,531,4095,0,0,60
121,1511,641,529,4095,0,0,60
122,1513,647,529,4095,0,0,60
123,1513,648,531,4095,0,0,60
124,1512,652,526,4095,0,0,60
125,1510,651,527,4095,0,0,60
126,1507,649,532,4095,0,0,60
127,1509,650,530,4095,0,0,60
128,1507,645,525,4095,0,0,60
129,1513,645,530,4095,0,0,60
130,1509,649,528,4095,0,0,60
131,1513,646,528,4095,0,0,60
132,1509,647,527,4095,0,0,60
133,1506,650,528,4095,0,0,60
134,1511,650,528,4095,0,0,60
135,1512,649,530,4095,0,0,60
136,1512,649,527,4095,0,0,60
137,1509,645,530,4095,0,0,60
138,1510,647,524,4095,0,0,60
139,1508,647,522,4095,0,0,60
140,1504,642,534,4095,0,0,60
141,1501,647,531,4095,0,0,60
142,1510,643,527,4095,0,0,60
143,1507,644,528,4095,0,0,60
144,1514,652,527,4095,0,0,60
145,1507,649,527,4095,0,0,60
146,1508,652,528,4095,0,0,60
147,1506,648,527,4095,0,0,60
148,1511,645,527,4095,0,0,60
149,1510,648,529,4095,0,0,60
150,1509,645,526,4095,0,0,60
151,1508,649,525,4095,0,0,60
152,1511,648,530,4095,0,0,60
153,1507,647,529,4095,0,0,60
154,1505,641,528,4095,0,0,60
155,1513,652,527,4095,0,0,60
156,1509,643,530,4095,0,0,60
157,1493,647,531,4095,0,0,60
158,1506,644,529,4095,0,0,60
159,1508,644,529,4095,0,0,60
160,1513,648,527,4095,0,0,60
161,1511,649,528,4095,0,0,60
162,1509,647,529,4095,0,0,60
163,1509,645,529,4095,0,0,60
164,1508,646,527,4095,0,0,60
165,1506,647,529,4095,0,0,60
166,1494,650,526,4095,0,0,60
167,1507,642,527,4095,0,0,60
168,1503,642,531,4095,0,0,60
169,1505,645,531,4095,0,0,60
170,1516,645,529,4095,0,0,60
171,1513,648,528,4095,0,0,60
172,1514,639,527,4095,0,0,60
173,1507,640,528,4095,0,0,60
174,1505,656,528,4095,0,0,60
175,1521,645,527,4095,0,0,60
176,1512,649,526,4095,0,0,60
177,1515,644,528,4095,0,0,60
178,1503,646,529,4095,0,0,60
179,1508,652,526,4095,0,0,60
180,1509,649,527,4095,0,0,60
181,1512,646,527,4095,0,0,60
182,1512,647,527,4095,0,0,60
183,1509,643,531,4095,0,0,60
184,1511,649,527,4095,0,0,60
185,1512,648,527,4095,0,0,60
186,1508,644,532,4095,0,0,60
187,1511,650,530,4095,0,0,60
188,1508,648,530,4095,0,0,60
189,1511,648,529,4095,0,0,60
190,1510,644,529,4095,0,0,60
191,1508,647,530,4095,0,0,60
192,1506,645,529,4095,0,0,60
193,1508,646,528,4095,0,0,60
194,1509,648,530,4095,0,0,60
195,1506,650,527,4095,0,0,60
196,1508,644,526,4095,0,0,60
197,1511,648,534,4095,0,0,60
198,1508,650,532,4095,0,0,60
199,1507,654,527,4095,0,0,60
200,1510,651,529,4095,0,0,60
201,1506,638,529,4095,0,0,60
202,1512,640,526,4095,0,0,60
203,1507,643,528,4095,0,0,60
204,1513,648,525,4095,0,0,60
205,1508,648,530,4095,0,0,60
206,1510,645,528,4095,0,0,60
207,1512,641,532,4095,0,0,60
208,1509,645,532,4095,0,0,60
209,1510,644,529,4095,0,0,60
210,1513,645,530,4095,0,0,60
211,1505,643,529,4095,0,0,60
212,1511,646,526,4095,0,0,60
213,1509,645,529,4095,0,0,60
214,1505,650,527,4095,0,0,60
215,1507,646,531,4095,0,0,60
216,1507,653,530,4095,0,0,60
217,1514,653,522,4095,0,0,60
218,1516,647,531,4095,0,0,60
219,1508,651,527,4095,0,0,60
220,1514,648,527,4095,0,0,60
221,1506,639,527,4095,0,0,60
222,1509,647,527,4095,0,0,60
223,1510,640,528,4095,0,0,60
224,1508,644,529,4095,0,0,60
225,1501,647,527,4095,0,0,60
226,1510,642,529,4095,0,0,60
227,1505,649,528,4095,0,0,60
228,1513,650,527,4095,0,0,60
229,1512,648,528,4095,0,0,60
230,1509,649,532,4095,0,0,60
231,1510,647,530,4095,0,0,60
232,1506,655,527,4095,0,0,60
233,1510,647,524,4095,0,0,60
234,1510,646,528,4095,0,0,60
235,1511,646,530,4095,0,0,60
236,1512,648,527,4095,0,0,60
237,1508,646,527,4095,0,0,60
238,1516,648,530,4095,0,0,60
239,1512,640,530,4095,0,0,60
240,1508,644,530,4095,0,0,60
241,1507,645,529,4095,0,0,60
242,1510,651,526,4095,0,0,60
243,1509,645,534,4095,0,0,60
244,1507,646,535,4095,0,0,60
245,1510,648,527,4095,0,0,60
246,1511,647,526,4095,0,0,60
247,1514,644,523,4095,0,0,60
248,1518,645,528,4095,0,0,60
249,1510,647,529,4095,0,0,60
250,1509,644,528,4095,0,0,60
251,1508,643,530,4095,0,0,60
252,1498,642,528,4095,0,0,60
253,1511,639,527,4095,0,0,60
254,1507,647,529,4095,0,0,60
255,1509,650,527,4095,0,0,60
256,1509,644,528,4095,0,0,60
257,1510,646,527,4095,0,0,60
258,1506,647,530,4095,0,0,60
259,1512,641,527,4095,0,0,60
260,1508,647,526,4095,0,0,60
261,1512,645,528,4095,0,0,60
262,1509,644,527,4095,0,0,60
263,1505,645,530,4095,0,0,60
264,1506,644,528,4095,0,0,60
265,1511,647,528,4095,0,0,60
266,1511,646,529,4095,0,0,60
267,1509,647,528,4095,0,0,60
268,1506,650,531,4095,0,0,60
269,1512,640,526,4095,0,0,60
270,1510,647,527,4095,0,0,60
271,1508,645,531,4095,0,0,60
272,1511,649,528,4095,0,0,60
273,1511,656,530,4095,0,0,60
274,1509,648,527,4095,0,0,60
275,1508,647,534,4095,0,0,60
276,1507,649,528,4095,0,0,60
277,1509,648,528,4095,0,0,60
278,1512,647,529,4095,0,0,60
279,1510,650,528,4095,0,0,60
280,1509,643,526,4095,0,0,60
281,1507,644,531,4095,0,0,60
282,1512,647,527,4095,0,0,60
283,1521,640,530,4095,0,0,60
284,1510,642,528,4095,0,0,60
285,1512,644,526,4095,0,0,60
286,1507,658,528,4095,0,0,60
287,1510,651,531,4095,0,0,60
288,1508,661,529,4095,0,0,60
289,1510,647,531,4095,0,0,60
290,1507,648,526,4095,0,0,60
291,1511,659,528,4095,0,0,60
292,1515,642,530,4095,0,0,60
293,1513,653,530,4095,0,0,60
294,1511,651,529,4095,0,0,60
295,1505,648,530,4095,0,0,60
296,1509,650,529,4095,0,0,60
297,1505,647,531,4095,0,0,60
298,1509,647,529,4095,0,0,60
299,1507,647,526,4095,0,0,60
300,1510,648,532,4095,0,0,60
301,1510,650,533,4095,0,0,60
302,1509,652,526,4095,0,0,60
303,1507,647,528,4095,0,0,60
304,1509,646,530,4095,0,0,60
305,1512,647,524,4095,0,0,60
306,1512,650,530,4095,0,0,60
307,1510,649,528,4095,0,0,60
308,1507,660,533,4095,0,0,60
309,1507,645,526,4095,0,0,60
310,1507,648,528,4095,0,0,60
311,1512,648,526,4095,0,0,60
312,1508,645,527,4095,0,0,60
313,1505,646,529,4095,0,0,60
314,1509,641,528,4095,0,0,60
315,1503,642,530,4095,0,0,60
316,1509,644,527,4095,0,0,60
317,1511,654,530,4095,0,0,60
318,1507,648,531,4095,0,0,60
319,1509,642,527,4095,0,0,60
320,1510,646,527,4095,0,0,60
321,1506,640,528,4095,0,0,60
322,1509,650,529,4095,0,0,60
323,1508,646,527,4095,0,0,60
324,1506,644,530,4095,0,0,60
325,1510,646,530,4095,0,0,60
326,1513,647,527,4095,0,0,60
327,1512,648,529,4095,0,0,60
328,1510,639,526,4095,0,0,60
329,1509,641,530,4095,0,0,60
330,1509,640,528,4095,0,0,60
331,1506,649,528,4095,0,0,60
332,1509,642,529,4095,0,0,60
333,1511,649,529,4095,0,0,60
334,1508,644,531,4095,0,0,60
335,1509,649,527,4095,0,0,60
336,1509,662,529,4095,0,0,60
337,1509,647,533,4095,0,0,60
338,1507,650,528,4095,0,0,60
339,1508,646,535,4095,0,0,60
340,1508,644,525,4095,0,0,60
341,1514,649,529,4095,0,0,60
342,1510,648,528,4095,0,0,60
343,1514,641,527,4095,0,0,60
344,1509,642,523,4095,0,0,60
345,1515,647,530,4095,0,0,60
346,1511,646,529,4095,0,0,60
347,1509,645,531,4095,0,0,60
348,1508,652,529,4095,0,0,60
349,1510,646,527,4095,0,0,60
350,1514,644,529,4095,0,0,60
351,1506,641,526,4095,0,0,60
352,1507,648,526,4095,0,0,60
353,1510,645,529,4095,0,0,60
354,1509,651,529,4095,0,0,60
355,1512,652,531,4095,0,0,60
356,1512,646,524,4095,0,0,60
357,1510,641,528,4095,0,0,60
358,1512,644,529,4095,0,0,60
359,1512,645,533,4095,0,0,60
360,1510,646,527,4095,0,0,60
361,1506,653,527,4095,0,0,60
362,1508,648,528,4095,0,0,60
363,1513,644,527,4095,0,0,60
364,1514,646,529,4095,0,0,60
365,1512,653,530,4095,0,0,60
366,1512,642,529,4095,0,0,60
367,1509,647,529,4095,0,0,60
368,1513,644,528,4095,0,0,60
369,1519,645,529,4095,0,0,60
370,1507,650,527,4095,0,0,60
371,1509,645,526,4095,0,0,60
372,1510,637,526,4095,0,0,60
373,1511,648,526,4095,0,0,60
374,1510,649,526,4095,0,0,60
375,1514,650,528,4095,0,0,60
376,1512,649,529,4095,0,0,60
377,1509,646,525,4095,0,0,60
378,1507,645,528,4095,0,0,60
379,1512,651,529,4095,0,0,60
380,1509,642,528,4095,0,0,60
381,1503,647,529,4095,0,0,60
382,1511,646,527,4095,0,0,60
383,1510,649,529,4095,0,0,60
384,1509,647,524,4095,0,0,60
385,1505,650,531,4095,0,0,60
386,1509,647,531,4095,0,0,60
387,1506,645,528,4095,0,0,60
388,1510,642,532,4095,0,0,60
389,1507,648,527,4095,0,0,60
390,1509,646,529,4095,0,0,60
391,1510,649,529,4095,0,0,60
392,1510,646,528,4095,0,0,60
393,1511,642,527,4095,0,0,60
394,1508,650,531,4095,0,0,60
395,1509,649,530,4095,0,0,60
396,1510,650,525,4095,0,0,60
397,1515,649,530,4095,0,0,60
398,1509,645,529,4095,0,0,60
399,1507,649,526,4095,0,0,60
400,1510,649,529,4095,0,0,60
401,1513,648,526,4095,0,0,60
402,1510,645,526,4095,0,0,60
403,1514,647,530,4095,0,0,60
404,1510,644,529,4095,0,0,60
405,1511,650,529,4095,0,0,60
406,1511,651,529,4095,0,0,60
407,1509,651,525,4095,0,0,60
408,1511,642,529,4095,0,0,60
409,1508,644,528,4095,0,0,60
410,1506,645,527,4095,0,0,60
411,1501,645,527,4095,0,0,60
412,1509,647,527,4095,0,0,60
413,1512,647,530,4095,0,0,60
414,1511,647,525,4095,0,0,60
415,1506,646,526,4095,0,0,60
416,1509,646,528,4095,0,0,60
417,1510,639,528,4095,0,0,60
418,1511,648,528,4095,0,0,60
419,1513,655,531,4095,0,0,60
420,1508,646,533,4095,0,0,60
421,1508,648,526,4095,0,0,60
422,1508,647,531,4095,0,0,60
423,1512,647,524,4095,0,0,60
424,1511,648,529,4095,0,0,60
425,1510,648,529,4095,0,0,60
426,1507,637,526,4095,0,0,60
427,1510,650,526,4095,0,0,60
428,1509,646,526,4095,0,0,60
429,1499,647,526,4095,0,0,60
430,1509,644,527,4095,0,0,60
431,1501,651,528,4095,0,0,60
432,1512,642,530,4095,0,0,60
433,1510,644,527,4095,0,0,60
434,1512,649,527,4095,0,0,60
435,1506,652,531,4095,0,0,60
436,1511,652,530,4095,0,0,60
437,1507,646,528,4095,0,0,60
438,1508,649,528,4095,0,0,60
439,1504,643,529,4095,0,0,60
440,1510,649,527,4095,0,0,60
441,1508,645,529,4095,0,0,60
442,1509,650,528,4095,0,0,60
443,1509,654,526,4095,0,0,60
444,1507,649,528,4095,0,0,60
445,1513,645,529,4095,0,0,60
446,1510,645,529,4095,0,0,60
447,1511,650,529,4095,0,0,60
448,1510,648,529,4095,0,0,60
449,1509,648,529,4095,0,0,60
450,1511,647,530,4095,0,0,60
451,1514,648,531,4095,0,0,60
452,1512,648,527,4095,0,0,60
453,1509,653,527,4095,0,0,60
454,1506,649,525,4095,0,0,60
455,1509,645,525,4095,0,0,60
456,1510,649,533,4095,0,0,60
457,1505,642,527,4095,0,0,60
458,1509,652,526,4095,0,0,60
459,1511,647,526,4095,0,0,60
460,1509,649,528,4095,0,0,60
