time,cyln_pre,tank_pre,force,pos,val1,val2,duty
0,897,2346,529,4095,0,0,80
1,899,2352,527,4095,0,0,80
2,897,2346,530,4095,0,0,80
3,897,2346,530,4095,0,0,80
4,896,2353,525,4095,0,0,80
5,897,2348,528,4095,0,0,80
6,899,2349,529,4095,0,0,80
7,897,2351,528,4095,0,0,80
8,900,2350,523,4095,0,0,80
9,899,2342,532,4095,0,0,80
10,895,2354,531,4095,0,0,80
11,893,2350,524,4095,0,0,80
12,892,2348,525,4095,0,0,80
13,902,2347,528,4095,0,0,80
14,893,2345,530,4095,0,0,80
15,900,2343,528,4095,0,0,80
16,898,2346,530,4095,0,0,80
17,898,2350,530,4095,0,0,80
18,900,2348,524,4095,0,0,80
19,893,2345,529,4095,0,0,80
20,894,2358,532,4095,0,0,80
21,892,2350,531,4095,0,0,80
22,895,2350,531,4095,0,0,80
23,893,2344,527,4095,0,0,80
24,897,2347,526,4095,0,0,80
25,896,2349,531,4095,0,0,80
26,898,2352,526,4095,0,0,80
27,896,2351,526,4095,0,0,80
28,893,2346,528,4095,0,0,80
29,881,2351,530,4095,0,0,80
30,892,2358,528,4095,0,0,80
31,897,2343,530,4095,0,0,80
32,897,2347,530,4095,0,0,80
33,896,2345,528,4095,0,0,80
34,902,2347,528,4095,0,0,80
35,899,2347,529,4095,0,0,80
36,894,2349,532,4095,0,0,80
37,895,2346,530,4095,0,0,80
38,902,2344,527,4095,0,0,80
39,896,2347,527,4095,0,0,80
40,898,2352,529,4095,0,0,80
41,895,2345,529,4095,0,0,80
42,898,2346,526,4095,0,0,80
43,898,2346,525,4095,0,0,80
44,898,2345,527,4095,0,0,80
45,891,2349,524,4095,0,0,80
46,894,2345,528,4095,0,0,80
47,893,2344,527,4095,0,0,80
48,892,2345,528,4095,0,0,80
49,900,2345,527,4095,0,0,80
50,895,2344,532,4095,0,0,80
51,898,2355,528,4095,0,0,80
52,900,2347,527,4095,0,0,80
53,891,2351,531,4095,0,0,80
54,889,2349,528,4095,0,0,80
55,896,2347,525,4095,0,0,80
56,896,2347,532,4095,0,0,80
57,897,2346,526,4095,0,0,80
58,896,2350,529,4095,0,0,80
59,897,2346,528,4095,0,0,80
60,897,2329,527,4095,0,0,80
61,890,2359,526,4095,0,0,80
62,899,2350,530,4095,0,0,80
63,891,2348,530,4095,0,0,80
64,895,2345,532,4095,0,0,80
65,896,2345,528,4095,0,0,80
66,896,2347,530,4095,0,0,80
67,898,2351,530,4095,0,0,80
68,894,2346,529,4095,0,0,80
69,896,2349,536,4095,0,0,80
70,892,2344,529,4095,0,0,80
71,894,2356,529,4095,0,0,80
72,901,2347,531,4095,0,0,80
73,898,2344,529,4095,0,0,80
74,896,2346,529,4095,0,0,80
75,895,2349,528,4095,0,0,80
76,893,2344,527,4095,0,0,80
77,896,2360,533,4095,0,0,80
78,892,2348,530,4095,0,0,80
79,896,2348,529,4095,0,0,80
80,896,2357,530,4095,0,0,80
81,896,2349,528,4095,0,0,80
82,901,2349,527,4095,0,0,80
83,895,2341,525,4095,0,0,80
84,895,2345,529,4095,0,0,80
85,887,2345,527,4095,0,0,80
86,892,2346,527,4095,0,0,80
87,898,2343,530,4095,0,0,80
88,893,2345,530,4095,0,0,80
89,893,2345,530,4095,0,0,80
90,879,2345,528,4095,0,0,80
91,898,2351,531,4095,0,0,80
92,896,2332,531,4095,0,0,80
93,896,2350,526,4095,0,0,80
94,897,2347,525,4095,0,0,80
95,894,2346,528,4095,0,0,80
96,892,2341,529,4095,0,0,80
97,900,2351,527,4095,0,0,80
98,896,2347,532,4095,0,0,80
99,900,2344,531,4095,0,0,80
100,891,2349,526,4095,0,0,80
101,895,2346,528,4095,0,0,80
102,896,2347,522,4095,0,0,80
103,894,2350,531,4095,0,0,80
104,902,2351,528,4095,0,0,80
105,901,2346,525,4095,0,0,80
106,902,2347,530,4095,0,0,80
107,898,2350,532,4095,0,0,80
108,896,2352,521,4095,0,0,80
109,898,2349,529,4095,0,0,80
110,898,2344,531,4095,0,0,80
111,896,2344,530,4095,0,0,80
112,890,2349,526,4095,0,0,80
113,895,2347,532,4095,0,0,80
114,889,2346,530,4095,0,0,80
115,898,2354,528,4095,0,0,80
116,900,2343,529,4095,0,0,80
