time,cyln_pre,tank_pre,force,pos,val1,val2
0,268,260,114,986,0,0
1,267,261,112,986,0,0
2,267,259,114,985,0,0
3,266,259,114,985,0,0
4,270,260,113,985,0,0
5,268,260,113,986,0,0
6,269,259,114,986,0,0
7,267,260,113,986,0,0
8,269,259,113,986,0,0
9,268,260,113,986,0,0
10,267,260,114,986,0,0
11,269,260,114,986,0,0
12,268,260,114,985,0,0
13,268,259,113,986,0,0
14,268,261,112,986,0,0
15,268,261,114,985,0,0
16,266,259,113,986,0,0
17,269,259,113,986,0,0
18,268,260,115,984,0,0
19,268,260,113,987,0,0
20,266,260,114,985,0,0
21,270,261,113,986,0,0
22,268,260,113,987,0,0
23,268,259,114,985,0,0
24,267,260,113,986,0,0
25,270,261,113,986,0,0
26,267,260,113,987,0,0
27,267,260,113,986,0,0
28,270,261,114,986,0,0
29,271,258,112,986,0,0
30,268,260,114,986,0,0
31,267,260,112,985,0,0
32,266,260,113,986,0,0
33,265,260,113,986,0,0
34,268,260,114,986,0,0
35,267,260,113,985,0,0
36,268,259,113,985,0,0
37,269,260,114,985,0,0
38,268,260,114,986,0,0
39,267,259,113,986,0,0
40,269,257,114,986,0,0
41,270,259,113,986,0,0
42,268,260,113,986,0,0
43,267,259,113,988,0,0
44,268,261,114,986,0,0
45,269,260,114,986,0,0
46,266,259,113,986,0,0
47,268,260,113,986,0,0
48,268,262,115,986,0,0
49,268,259,113,986,0,0
50,267,260,113,986,0,0
51,265,259,114,986,0,0
52,268,259,113,986,0,0
53,267,260,113,984,0,0
54,269,260,113,985,0,0
55,269,260,113,985,0,0
56,267,261,112,984,0,0
57,268,260,113,986,0,0
58,267,260,115,985,0,0
59,269,260,113,986,0,0
60,268,259,114,985,0,0
61,272,260,113,988,0,0
62,268,261,113,985,0,0
63,269,261,113,985,0,0
64,268,260,113,986,0,0
65,267,260,114,986,0,0
66,267,260,114,986,0,0
67,261,260,114,986,0,0
68,268,259,113,986,0,0
69,268,260,113,985,0,0
70,267,260,113,985,0,0
71,267,260,113,987,0,0
72,267,260,113,986,0,0
73,268,260,113,985,0,0
74,267,260,112,985,0,0
75,269,259,113,986,0,0
76,267,259,113,986,0,0
77,269,260,113,986,0,0
78,268,259,113,985,0,0
79,268,260,113,986,0,0
80,267,260,113,986,0,0
81,268,260,113,986,0,0
82,267,260,114,985,0,0
83,270,259,114,986,0,0
84,270,262,114,985,0,0
85,268,262,114,986,0,0
86,269,260,113,985,0,0
87,265,260,115,985,0,0
88,268,260,113,986,0,0
