time,cyln_pre,tank_pre,force,pos,val1,val2
0,1153,43,461,3981,0,0
1,1161,42,464,3981,0,0
2,1155,44,461,3979,0,0
3,1152,43,460,3978,0,0
4,1165,39,461,3980,0,0
5,1158,46,463,3979,0,0
6,1144,44,460,3979,0,0
7,1148,43,459,3973,0,0
8,1155,45,461,3979,0,0
9,1154,47,464,3980,0,0
10,1154,42,463,3979,0,0
11,1157,43,464,3981,0,0
12,1155,42,462,3981,0,0
13,1152,43,463,3981,0,0
14,1157,41,464,3979,0,0
15,1154,42,463,3978,0,0
16,1158,43,456,3979,0,0
17,1154,39,462,3978,0,0
18,1150,42,462,3977,0,0
19,1155,45,466,3980,0,0
20,1152,44,460,3978,0,0
21,1160,44,464,3979,0,0
22,1150,42,461,3980,0,0
23,1156,43,464,3978,0,0
24,1160,43,459,3981,0,0
25,1166,45,459,3978,0,0
26,1157,42,457,3981,0,0
27,1156,43,466,3978,0,0
28,1158,42,461,3978,0,0
29,1152,43,461,3980,0,0
30,1146,44,462,3977,0,0
31,1153,41,465,3978,0,0
32,1142,43,464,3976,0,0
33,1152,43,461,3978,0,0
34,1155,39,460,3981,0,0
35,1156,42,462,3977,0,0
36,1152,44,463,3985,0,0
37,1163,44,461,3981,0,0
38,1161,43,463,3979,0,0
39,1157,44,460,3979,0,0
40,1157,47,462,3981,0,0
41,1158,48,463,3974,0,0
42,1153,43,459,3980,0,0
43,1146,44,459,3976,0,0
44,1158,40,454,3977,0,0
45,1152,43,460,3978,0,0
46,1151,42,459,3974,0,0
47,1154,42,460,3980,0,0
48,1154,41,463,3980,0,0
49,1153,41,457,3976,0,0
50,1158,44,462,3980,0,0
51,1152,43,460,3981,0,0
52,1158,42,460,3979,0,0
53,1154,44,460,3982,0,0
54,1156,43,458,3980,0,0
55,1151,43,463,3979,0,0
56,1151,44,459,3979,0,0
57,1155,47,459,3980,0,0
58,1156,44,462,3981,0,0
59,1145,42,461,3983,0,0
60,1154,44,457,3977,0,0
61,1157,43,464,3980,0,0
62,1156,43,460,3980,0,0
63,1153,41,463,3983,0,0
64,1153,43,458,3979,0,0
65,1157,40,459,3977,0,0
66,1153,43,464,3981,0,0
67,1153,43,459,3974,0,0
68,1158,43,465,3977,0,0
69,1149,43,462,3978,0,0
70,1152,37,462,3988,0,0
71,1155,45,459,3980,0,0
72,1153,48,459,3978,0,0
73,1156,43,462,3984,0,0
74,1150,43,460,3978,0,0
75,1154,43,463,3980,0,0
76,1152,39,460,3979,0,0
77,1153,42,462,3980,0,0
78,1157,43,461,3981,0,0
79,1153,45,462,3979,0,0
80,1155,42,462,3981,0,0
81,1168,41,462,3979,0,0
82,1153,44,460,3980,0,0
83,1153,41,459,3981,0,0
84,1154,44,465,3980,0,0
85,1158,43,460,3982,0,0
86,1150,42,458,3977,0,0
87,1157,43,458,3979,0,0
88,1157,43,464,3979,0,0
89,1156,42,461,3979,0,0
90,1155,44,459,3979,0,0
91,1153,44,461,3981,0,0
92,1153,43,460,3982,0,0
93,1149,45,460,3983,0,0
94,1158,46,460,3978,0,0
95,1152,44,461,3978,0,0
96,1155,44,463,3980,0,0
97,1155,46,460,3979,0,0
98,1150,42,459,3987,0,0
99,1148,43,461,3980,0,0
100,1151,43,462,3980,0,0
101,1152,43,464,3985,0,0
102,1157,43,461,3978,0,0
103,1154,44,454,3979,0,0
104,1155,43,459,3977,0,0
105,1151,44,461,3979,0,0
106,1147,42,461,3981,0,0
107,1155,43,458,3980,0,0
108,1156,42,462,3980,0,0
109,1150,44,460,3980,0,0
110,1159,42,459,3985,0,0
111,1161,45,464,3978,0,0
112,1152,43,461,3982,0,0
113,1159,45,460,3979,0,0
114,1152,43,459,3977,0,0
115,1154,43,462,3977,0,0
116,1151,44,461,3979,0,0
117,1152,43,466,3980,0,0
118,1156,43,456,3983,0,0
119,1150,43,458,3979,0,0
120,1154,43,460,3979,0,0
121,1156,42,462,3980,0,0
122,1157,44,459,3981,0,0
123,1157,43,461,3979,0,0
124,1153,44,460,3978,0,0
125,1155,43,459,3981,0,0
126,1156,44,460,3980,0,0
127,1156,43,464,3980,0,0
128,1167,44,459,3979,0,0
129,1159,44,463,3979,0,0
130,1152,41,463,3984,0,0
131,1157,46,462,3979,0,0
132,1149,43,462,3981,0,0
133,1155,42,458,3980,0,0
134,1152,42,464,3979,0,0
135,1153,43,457,3980,0,0
136,1157,43,461,3982,0,0
137,1155,43,462,3979,0,0
138,1150,47,463,3976,0,0
139,1155,47,462,3984,0,0
140,1148,42,463,3981,0,0
141,1158,45,462,3982,0,0
142,1156,42,466,3978,0,0
143,1152,43,460,3986,0,0
144,1152,43,452,3982,0,0
145,1151,47,461,3982,0,0
146,1156,43,464,3980,0,0
147,1159,44,463,3978,0,0
148,1158,43,463,3980,0,0
149,1152,42,465,3974,0,0
150,1156,44,462,3979,0,0
151,1155,43,460,3978,0,0
152,1160,43,461,3979,0,0
153,1152,42,457,3981,0,0
154,1154,42,460,3978,0,0
155,1154,45,463,3981,0,0
156,1154,43,455,3981,0,0
157,1153,42,462,3978,0,0
158,1162,43,462,3979,0,0
159,1156,44,459,3979,0,0
160,1159,43,462,3980,0,0
161,1160,44,461,3980,0,0
162,1153,41,461,3980,0,0
163,1145,42,464,3980,0,0
164,1156,42,458,3976,0,0
165,1153,43,465,3979,0,0
166,1155,42,459,3978,0,0
167,1158,42,458,3979,0,0
168,1159,44,454,3978,0,0
169,1158,44,462,3979,0,0
170,1152,42,459,3977,0,0
171,1154,45,464,3979,0,0
172,1153,43,458,3979,0,0
173,1156,42,459,3979,0,0
174,1151,43,459,3978,0,0
175,1156,42,458,3980,0,0
176,1158,44,462,3979,0,0
177,1147,42,461,3979,0,0
178,1154,43,460,3984,0,0
179,1148,42,459,3980,0,0
180,1162,42,463,3979,0,0
181,1157,44,462,3982,0,0
182,1151,43,457,3982,0,0
183,1149,41,461,3977,0,0
184,1155,43,461,3980,0,0
185,1148,41,464,3979,0,0
186,1152,43,461,3978,0,0
187,1139,45,460,3986,0,0
188,1153,44,465,3981,0,0
189,1149,43,463,3982,0,0
190,1153,43,460,3981,0,0
191,1153,44,462,3982,0,0
192,1156,43,460,3977,0,0
193,1160,43,461,3977,0,0
194,1153,43,463,3981,0,0
195,1159,43,462,3979,0,0
196,1155,43,465,3978,0,0
197,1158,43,462,3978,0,0
198,1151,39,463,3982,0,0
199,1151,42,464,3983,0,0
200,1155,44,459,3978,0,0
201,1155,44,464,3980,0,0
202,1145,44,463,3978,0,0
203,1149,44,466,3980,0,0
204,1156,43,462,3979,0,0
205,1153,43,461,3978,0,0
206,1162,43,459,3979,0,0
207,1150,44,452,3979,0,0
208,1164,45,461,3978,0,0
209,1155,43,462,3978,0,0
210,1159,41,460,3982,0,0
211,1155,46,463,3977,0,0
212,1151,42,461,3982,0,0
213,1149,41,462,3981,0,0
214,1156,42,464,3978,0,0
215,1154,45,462,3983,0,0
216,1154,43,462,3980,0,0
217,1158,42,465,3986,0,0
218,1162,45,464,3978,0,0
219,1151,44,458,3979,0,0
220,1158,43,465,3978,0,0
221,1153,43,462,3983,0,0
222,1155,43,462,3980,0,0
223,1151,43,460,3979,0,0
224,1164,44,459,3980,0,0
225,1156,43,466,3981,0,0
226,1156,42,456,3982,0,0
227,1158,47,459,3980,0,0
228,1159,43,462,3979,0,0
229,1154,43,462,3978,0,0
230,1155,43,461,3980,0,0
231,1156,43,462,3979,0,0
232,1163,44,458,3980,0,0
233,1156,41,457,3980,0,0
234,1162,43,466,3977,0,0
235,1155,43,458,3978,0,0
236,1153,41,462,3980,0,0
237,1145,43,459,3981,0,0
238,1153,43,459,3977,0,0
239,1151,45,460,3980,0,0
240,1153,43,464,3981,0,0
241,1157,44,463,3979,0,0
242,1155,44,459,3979,0,0
243,1155,43,461,3979,0,0
244,1155,44,458,3978,0,0
245,1155,41,463,3979,0,0
246,1152,43,457,3977,0,0
247,1153,46,469,3978,0,0
248,1153,42,460,3980,0,0
249,1153,43,462,3979,0,0
250,1155,42,458,3982,0,0
251,1152,43,460,3978,0,0
252,1156,43,460,3976,0,0
253,1153,44,463,3980,0,0
254,1163,43,459,3980,0,0
255,1158,42,460,3977,0,0
256,1155,41,459,3982,0,0
257,1155,44,460,3982,0,0
258,1156,43,460,3979,0,0
259,1152,46,459,3980,0,0
260,1156,45,458,3980,0,0
261,1156,42,459,3978,0,0
262,1156,37,463,3978,0,0
263,1164,43,460,3980,0,0
264,1156,43,457,3980,0,0
265,1151,42,469,3982,0,0
266,1154,46,463,3980,0,0
267,1162,41,461,3981,0,0
268,1155,43,459,3981,0,0
269,1152,44,460,3976,0,0
270,1152,44,461,3980,0,0
271,1147,44,466,3978,0,0
272,1155,50,457,3977,0,0
273,1154,45,461,3976,0,0
274,1158,43,463,3978,0,0
275,1154,43,458,3979,0,0
276,1140,44,465,3977,0,0
277,1150,42,461,3980,0,0
278,1154,38,466,3984,0,0
279,1150,41,460,3978,0,0
280,1161,43,460,3977,0,0
281,1150,42,461,3978,0,0
